[1.1831036, 1.4889617] 
[1.2999053, 1.4191548] 
[1.2677728, 1.3082821] 
[1.4811157, 1.4645457] 
[1.1001828, 1.1922617] 
[1.3110082, 1.0346873] 
[1.3451128, 1.1170533] 
[1.1006715, 0.9290061] 
[1.3158237, 1.066287] 
[1.4162636, 1.246933] 
[1.1877329, 1.0908017] 
[1.456613, 1.4202569] 
[1.2636796, 1.0928735] 
[1.5314634, 1.4612286] 
[1.1653755, 1.1283845] 
[1.1421039, 1.0232217] 
[1.3724766, 1.2204908] 
[1.4520996, 1.1818309] 
[1.0303065, 0.8921702] 
[1.2887106, 1.1624153] 
[1.5262835, 1.5829046] 
[1.2035077, 1.3624232] 
[1.2168685, 1.1422999] 
[1.3750448, 1.1069891] 
[1.4293898, 1.6874883] 
[1.7727673, 1.4469187] 
[1.3380198, 1.1208974] 
[1.3238356, 1.112282] 
[1.23419, 1.025535] 
[1.4465072, 1.2393273] 
[1.1553683, 1.0455949] 
[1.1117576, 1.1112708] 
[1.3693167, 1.2737863] 
[1.2675703, 1.3488278] 
[1.4714108, 1.1936886] 
[1.3817856, 1.1509051] 
[1.1953025, 0.9669275] 
[1.2168298, 1.0090995] 
[1.281707, 1.095292] 
[1.3898866, 1.2702923] 
[1.0926425, 1.0123547] 
[1.7602949, 1.9994442] 
[1.2280324, 1.2572575] 
[1.3474865, 1.4291234] 
[1.2082932, 1.1348267] 
[1.3010726, 1.0991923] 
[1.8188412, 1.6475432] 
[1.2589823, 1.0238584] 
[1.3408921, 1.1404619] 
[1.2708089, 1.0212631] 
[1.149699, 0.8673548] 
[1.3147253, 1.4120415] 
[1.3289039, 1.2793245] 
[1.4681876, 1.2304894] 
[1.2845948, 1.409619] 
[1.8246586, 1.6303222] 
[1.0927291, 0.9233855] 
[1.5289658, 1.2545509] 
[1.090405, 0.9220623] 
[1.6177514, 1.3647709] 
[1.1379149, 1.3789254] 
[1.0030836, 1.087733] 
[1.3161978, 1.2602801] 
[1.509527, 1.0895395] 
[1.5268221, 1.3548075] 
[1.542846, 1.3687153] 
[1.1328192, 0.98417056] 
[1.0580616, 0.83775216] 
[1.1939414, 0.9879564] 
[1.3962865, 1.1992035] 
[1.4159977, 1.512933] 
[1.2639658, 1.1079727] 
[1.3213944, 1.4629592] 
[1.2375232, 0.93512464] 
[1.3206491, 1.4855742] 
[1.2748476, 1.0247592] 
[1.2075067, 0.9622413] 
[1.5603582, 1.324758] 
[1.3454349, 1.0448289] 
[1.5114812, 1.2640134] 
[1.4139967, 1.3453981] 
[1.3906505, 1.5034587] 
[0.92648464, 1.1067026] 
[1.2721192, 1.3014185] 
[1.1870614, 1.2078078] 
[1.4891747, 1.2934475] 
[1.3350592, 1.1092975] 
[1.285595, 1.0873325] 
[1.4822375, 1.2330922] 
[1.1106455, 0.9620623] 
[1.4227812, 1.490263] 
[1.243125, 1.2215033] 
[1.1849384, 1.2821499] 
[1.0465491, 0.9302089] 
[1.3473318, 1.5097532] 
[1.4021044, 1.1168277] 
[1.3704745, 1.1517116] 
[1.3085651, 1.152468] 
[1.4726043, 1.2739468] 
[1.164568, 1.0670029] 
[1.1719763, 1.217948] 
[1.5863, 1.4276593] 
[1.4308491, 1.5499814] 
[1.0700988, 1.1785071] 
[1.6147012, 1.6005278] 
[1.3362877, 1.0287137] 
[1.5729115, 1.3282323] 
[1.2704903, 1.0326333] 
[1.3775402, 1.1558274] 
[0.9965855, 0.7715487] 
[1.2680721, 1.6565757] 
[1.5875572, 1.2449383] 
[1.435703, 1.3599898] 
[1.226404, 1.3354642] 
[1.432399, 1.2202787] 
[1.3973536, 1.2471945] 
[1.5010444, 1.2369523] 
[1.3213432, 1.0351671] 
[0.92852795, 0.7953768] 
[1.3930786, 1.1321917] 
[1.2351954, 1.2743138] 
[1.320329, 1.041558] 
[1.3788481, 1.4919472] 
[1.4310465, 1.2354863] 
[1.2361112, 1.2963544] 
[1.2181641, 0.97676253] 
[1.0676346, 0.92368245] 
[1.3946115, 1.1555433] 
[1.3613861, 1.1390637] 
[1.4045871, 1.1414161] 
[1.4252648, 1.1597576] 
[1.2161397, 1.1888918] 
[1.4088731, 1.2722809] 
[1.3083861, 1.0124036] 
[0.95834255, 1.1194507] 
[1.2122796, 1.0044118] 
[1.2509403, 0.96316034] 
[1.3632486, 1.2046434] 
[1.2136052, 0.9706224] 
[1.186183, 1.0271227] 
[1.2126379, 1.2348721] 
[1.4500537, 1.3349688] 
[1.053263, 1.1417634] 
[1.4451146, 1.5661438] 
[1.4175465, 1.1497648] 
[1.4280655, 1.1640317] 
[1.3469012, 1.0536034] 
[1.3609183, 1.0563364] 
[1.3828332, 1.0672343] 
[1.257082, 1.088927] 
[1.1515908, 1.1846346] 
[1.425304, 1.2648275] 
[1.5191166, 1.6394461] 
[1.0015082, 1.1007223] 
[1.4892626, 1.3532529] 
[1.9046891, 1.5291119] 
[1.5589919, 1.30428] 
[2.018818, 1.6383483] 
[1.4513619, 1.1078553] 
[1.5530239, 1.2981] 
[1.0536222, 1.1983168] 
[1.590125, 1.4767382] 
[1.4083141, 1.4333847] 
[1.1501498, 1.4813398] 
[1.5920395, 1.3206455] 
[1.1557401, 0.97788775] 
[1.4576366, 1.1522286] 
[1.5299605, 1.3032671] 
[1.4045119, 1.2212361] 
[1.4918379, 1.2579563] 
[1.45314, 1.4320602] 
[1.2681618, 1.2409512] 
[1.3891244, 1.3852698] 
[1.2266684, 0.9432007] 
[1.1749078, 1.1837773] 
[1.7412808, 1.3762255] 
[1.5621228, 1.3835385] 
[1.4003482, 1.2116734] 
[1.1070495, 0.9361576] 
[1.3773986, 1.1958516] 
[1.5205061, 1.5049245] 
[1.4300208, 1.2408175] 
[1.2852588, 1.0753447] 
[1.0974767, 0.92807883] 
[1.4803897, 1.4703904] 
[1.2074883, 1.0914804] 
[1.0916955, 0.935727] 
[1.4254494, 1.2191837] 
[1.3705529, 1.1363276] 
[1.6678164, 1.4250307] 
[1.5429072, 1.4539917] 
[1.3989122, 1.4720888] 
[1.1250086, 1.2809925] 
[1.21246, 1.0420833] 
[1.1987399, 1.3774968] 
[1.2873912, 1.1022125] 
[1.184814, 0.97833204] 
[1.3680196, 1.1616247] 
[1.2994273, 1.0057266] 
[1.4617804, 1.2786279] 
[1.3045962, 1.203335] 
[1.5826845, 1.4755061] 
[1.1053255, 1.1794691] 
[1.4368763, 1.635651] 
[1.3456099, 1.1715609] 
[1.1948287, 1.0281577] 
[1.3783867, 1.242466] 
[1.1403956, 0.94915867] 
[1.3525567, 1.1730809] 
[1.4170783, 1.1913544] 
[1.0987214, 1.0910456] 
[1.188957, 1.1248735] 
[1.3671652, 1.0884827] 
[1.3919525, 1.1917248] 
[1.0796003, 1.1918874] 
[1.459014, 1.2650666] 
[1.8426896, 1.5634667] 
[1.1555898, 0.9802444] 
[1.179254, 0.9695719] 
[1.445913, 1.1214523] 
[1.237276, 1.256516] 
[1.2147331, 1.1736908] 
[1.0987759, 1.3770964] 
[1.4652413, 1.1703148] 
[1.4402311, 1.4688265] 
[1.5720171, 1.4118929] 
[1.4975611, 1.3153603] 
[1.1397918, 1.0150461] 
[1.3381826, 1.1145844] 
[1.3371778, 1.1129593] 
[1.4110798, 1.0453417] 
[0.8908064, 0.83013815] 
[1.6024481, 1.433461] 
[1.0887768, 1.1219175] 
[1.4326906, 1.2954638] 
[1.4970088, 1.2620704] 
[1.3247825, 1.0590076] 
[1.1536515, 0.925139] 
[1.5083132, 1.211184] 
[1.3636278, 1.1318758] 
[1.2255569, 1.2798028] 
[1.3064752, 1.390821] 
