[1.0530138, 1.0076591] 
[1.0964916, 1.0785623] 
[1.059305, 1.0567398] 
[1.1432, 1.1627288] 
[1.039227, 1.0021753] 
[1.1585536, 1.0062928] 
[1.1010596, 0.9952171] 
[0.9076456, 0.7903758] 
[1.3196449, 1.1939139] 
[0.9855191, 0.895071] 
[1.0527341, 1.0555804] 
[1.1595845, 1.1651754] 
[1.2155681, 1.2338691] 
[0.98294497, 0.85437095] 
[1.253963, 1.1210291] 
[1.0117028, 0.84672767] 
[1.3683606, 1.1493177] 
[0.861351, 0.7097606] 
[1.6290902, 1.4005901] 
[0.754707, 0.63025945] 
[1.4152362, 1.1834581] 
[0.94795954, 0.84664816] 
[1.1431084, 1.1719381] 
[0.9863704, 0.9530796] 
[1.0567238, 0.9686128] 
[1.144636, 1.0071113] 
[1.1123353, 0.99596447] 
[1.2016032, 1.0987811] 
[1.0204078, 0.93492925] 
[1.1268494, 1.0199679] 
[0.97184634, 1.0034539] 
[1.1121857, 1.0471082] 
[1.0317497, 1.0105839] 
[1.1198093, 1.0577118] 
[0.9760557, 0.9403666] 
[1.1074022, 0.9469187] 
[1.1213605, 1.0057628] 
[1.0046616, 0.88718903] 
[1.1079348, 0.9903561] 
[1.0489448, 0.8956104] 
[1.1528717, 1.1003065] 
[0.8523152, 0.76051676] 
[1.2594304, 1.1662838] 
[1.0444847, 1.0267589] 
[1.0681646, 0.9590924] 
[1.0357676, 0.8841753] 
[1.118385, 0.98385143] 
[1.0463147, 0.91182196] 
[1.2212435, 1.058817] 
[0.98781705, 0.7716419] 
[1.254494, 1.1312912] 
[1.1891205, 1.0941687] 
[1.114463, 1.2073814] 
[1.2986381, 1.0993567] 
[1.1387384, 1.1616672] 
[1.0226091, 0.93234336] 
[1.1847854, 1.0775002] 
[1.0570257, 0.96509016] 
[1.0595281, 0.96158874] 
[1.1207207, 1.0271513] 
[1.0825951, 1.0885181] 
[1.0140116, 0.9791963] 
[1.0526766, 0.9782746] 
[1.073204, 1.023524] 
[1.0114717, 1.0842862] 
[1.0098102, 0.8964318] 
[1.1135106, 1.0137119] 
[0.9564512, 0.82855546] 
[1.1736829, 1.0077672] 
[0.9945451, 0.85551083] 
[1.058632, 0.9488815] 
[0.9855926, 0.91730124] 
[0.87288654, 0.9104717] 
[1.0324922, 0.8961426] 
[0.9083603, 0.8466829] 
[1.0656217, 0.9607365] 
[1.0734005, 0.9947046] 
[1.00047, 0.8913636] 
[0.95640194, 0.85515475] 
[1.1525519, 1.0462997] 
[1.0359931, 1.0445693] 
[1.1978714, 1.1023321] 
[1.2056825, 1.0288334] 
[1.0490884, 1.130702] 
[1.1246967, 1.0146285] 
[1.0243832, 0.89304215] 
[1.0221028, 0.8861568] 
[1.235002, 1.0853233] 
[1.0658195, 0.98621] 
[1.147287, 1.0043666] 
[1.2029744, 1.1039817] 
[1.12164, 1.0291173] 
[1.1053207, 1.0064378] 
[1.0450337, 1.0154073] 
[1.1727018, 1.1614214] 
[1.1298181, 1.0562496] 
[1.0245705, 0.9660157] 
[1.0126395, 0.9404026] 
[1.0967189, 1.012042] 
[1.0418906, 0.9681578] 
[1.01639, 0.98962414] 
[1.0816511, 1.1121595] 
[1.0043656, 1.0342664] 
[1.1434653, 1.0305893] 
[0.93232626, 0.9093705] 
[1.1769502, 1.0471145] 
[0.85478556, 0.75070393] 
[1.3801336, 1.2033479] 
[1.1417173, 0.97600335] 
[1.2515094, 1.1104372] 
[1.0129824, 1.0660853] 
[1.2512732, 1.2827325] 
[0.8062384, 0.7964102] 
[1.3309286, 1.3580422] 
[0.9991492, 0.8900542] 
[1.2323813, 1.038009] 
[0.6628046, 0.5391891] 
[1.2589533, 1.0883814] 
[1.0508351, 0.94225025] 
[1.0509118, 0.93607914] 
[0.9921821, 0.9754997] 
[1.1032523, 1.0519066] 
[1.085902, 1.0719132] 
[1.0117469, 1.0419962] 
[1.0911684, 1.1243894] 
[1.01835, 0.93274856] 
[1.0813723, 1.0145571] 
[1.0052445, 0.903076] 
[1.1700273, 1.0621923] 
[0.9615959, 0.8739457] 
[1.0126553, 0.93580306] 
[1.0122492, 1.0985643] 
[1.0501609, 1.0212011] 
[1.0361152, 0.99642503] 
[1.0482008, 1.0482838] 
[0.94366086, 0.8460691] 
[1.1702371, 1.0532337] 
[1.0563396, 0.9519522] 
[0.9911932, 0.906667] 
[1.0386838, 0.9501908] 
[1.0241971, 1.0431646] 
[1.0337389, 1.0425303] 
[1.092653, 1.0651271] 
[1.041707, 1.0177422] 
[1.013261, 1.0677223] 
[1.0898025, 0.9841967] 
[0.97475094, 0.87291455] 
[1.0508682, 0.9469832] 
[1.169213, 1.0912988] 
[1.1998711, 1.0697194] 
[1.0241897, 0.9998499] 
[1.0362902, 0.9919794] 
[1.082442, 1.0650821] 
[1.1991374, 1.0847367] 
[1.0640669, 1.0920737] 
[1.027298, 0.9064322] 
[1.0200734, 0.9146011] 
[1.0268618, 0.9394431] 
[1.1333425, 1.0130594] 
[1.1645904, 1.0322455] 
[1.0897052, 1.0362798] 
[0.98832625, 1.042209] 
[1.2094176, 1.1859626] 
[1.0266802, 0.9005052] 
[1.1379396, 1.1591198] 
[0.9944869, 0.8418622] 
[1.3071698, 1.1338212] 
[0.87139887, 0.80508983] 
[1.0537882, 0.94072545] 
[1.1207845, 1.0024277] 
[1.2865154, 1.2282325] 
[1.197815, 1.2612348] 
[1.0873244, 1.1395504] 
[1.1076522, 1.1619506] 
[1.0928125, 1.0289705] 
[1.0132692, 0.934846] 
[1.2218488, 1.0809762] 
[1.0086361, 0.9065009] 
[1.0714269, 0.95412946] 
[1.0483661, 0.9532093] 
[0.9065825, 0.8998314] 
[1.1447375, 1.137615] 
[1.0936213, 1.0474374] 
[1.1028764, 1.1105816] 
[1.1963195, 1.265316] 
[1.0234573, 0.925414] 
[1.0262992, 0.9335649] 
[0.982282, 0.917655] 
[1.0166764, 0.95530236] 
[1.0980036, 1.0101018] 
