[1.1319048, 1.004465] 
[1.1066546, 1.2098902] 
[1.758866, 1.5102587] 
[1.162956, 1.2296263] 
[1.553705, 1.467704] 
[1.5608969, 1.3256857] 
[1.3759981, 1.1818435] 
[1.3628968, 1.2101834] 
[1.2513425, 1.0466657] 
[1.2074782, 1.0363243] 
[1.361011, 1.3307732] 
[1.2340055, 1.3638377] 
[1.0215052, 1.0460435] 
[1.1779752, 1.2992246] 
[1.1615903, 1.2687804] 
[1.3903443, 1.177924] 
[1.2161146, 1.0022306] 
[1.3072786, 1.1314433] 
[1.4128678, 1.2177516] 
[1.1399083, 0.93189204] 
[1.3554387, 1.4498353] 
[1.3279821, 1.4722836] 
[1.1853235, 1.1525158] 
[1.040732, 1.439031] 
[1.1188002, 1.1119831] 
[1.3995337, 1.1740944] 
[1.0630744, 0.89244217] 
[1.4519005, 1.2245655] 
[1.3106167, 1.1242671] 
[1.4618891, 1.2498016] 
[0.8963306, 1.1562676] 
[1.157941, 1.0997994] 
[1.1742687, 1.3481507] 
[1.2479819, 1.0256798] 
[0.9555343, 0.9723914] 
[1.1930146, 1.0790696] 
[1.2811718, 1.0850312] 
[1.1716677, 1.0221362] 
[1.2639272, 1.1320523] 
[1.2669551, 1.1279343] 
[1.181126, 1.1445795] 
[1.0746963, 1.1861787] 
[1.2110265, 1.2744133] 
[1.1479113, 1.3435286] 
[1.1902835, 1.2945617] 
[1.3265605, 1.1275041] 
[1.2708172, 1.1023813] 
[1.2119124, 1.0291455] 
[1.2972627, 1.1328634] 
[1.1230744, 0.90227664] 
[1.2209191, 1.3426317] 
[1.2823241, 1.2799902] 
[1.4376261, 1.1267396] 
[1.2190821, 1.1408249] 
[0.9843135, 1.0759968] 
[1.3044302, 1.0360708] 
[1.4322188, 1.2371435] 
[1.218809, 1.0286584] 
[1.4623008, 1.1527374] 
[1.2292386, 1.0135295] 
[1.4344665, 1.412014] 
[1.3166857, 1.564641] 
[1.0421107, 1.0890467] 
[1.5351391, 1.2604157] 
[1.2291104, 1.3674924] 
[1.662035, 1.3525178] 
[1.3648002, 1.0534337] 
[1.4375433, 1.2223666] 
[1.3913045, 1.1373302] 
[1.1634864, 0.92987204] 
[1.4065237, 1.3602779] 
[1.2355218, 1.2689993] 
