[1.2985957, 1.4548581] 
[1.6181247, 1.0346191] 
[1.4384757, 1.4956964] 
[1.3883038, 1.2559729] 
[1.4003925, 1.2272022] 
[1.2535175, 1.058845] 
[1.2239047, 1.0240723] 
[1.3779671, 1.1449788] 
[1.114228, 0.92284405] 
[1.3398728, 1.0927823] 
[1.1448389, 0.9255302] 
[1.2802718, 1.4175038] 
[1.2476761, 1.2951391] 
[1.5868338, 1.4454125] 
[1.3622077, 1.5627906] 
[1.611995, 1.2863638] 
[1.3140354, 1.1154922] 
[1.2937741, 1.0952654] 
[1.2798536, 1.1336055] 
[1.3656781, 1.1637554] 
[1.4008698, 1.1703835] 
[1.5843608, 1.518141] 
[1.3586177, 1.3937176] 
[1.6322527, 1.5423752] 
[1.4086083, 1.4051604] 
[1.534497, 1.25277] 
[1.0603759, 0.8684833] 
[1.2609859, 1.0423982] 
[1.4985653, 1.2403997] 
[1.3415421, 1.1860099] 
[1.6192666, 1.6516024] 
[1.4439688, 1.1852858] 
[1.2529373, 1.2918] 
[1.4172156, 1.4754946] 
[1.1043518, 1.1941442] 
[1.6838627, 1.2981544] 
[1.4290646, 1.1936479] 
[1.5818613, 1.2922807] 
[0.9619479, 0.806741] 
[1.6250296, 1.3846252] 
[0.9460026, 1.2748711] 
[1.3965642, 1.6808288] 
[1.4916437, 1.3984346] 
[1.2843567, 1.3488533] 
[1.4040844, 1.294242] 
[1.3601342, 1.0372182] 
[1.3039482, 1.1203687] 
[1.515421, 1.2494043] 
[1.4152677, 1.1881742] 
[1.275292, 1.0743208] 
[1.3809927, 1.4147804] 
[1.4794028, 1.416729] 
[1.2988683, 1.4413297] 
[1.3842505, 1.0086255] 
[1.3794442, 1.1384103] 
[1.3704032, 1.1895828] 
[1.0881515, 0.94717] 
[1.2087195, 1.0218556] 
[1.0696578, 0.92024314] 
[1.0994346, 0.89618796] 
[0.9974134, 1.0039486] 
[1.5688958, 1.1749592] 
[1.1069646, 1.3416592] 
[1.3757565, 1.6112436] 
[1.4705071, 1.2492034] 
[1.3363228, 1.0900276] 
[1.2226577, 1.0555973] 
[1.2945192, 1.0850561] 
[1.3577063, 1.1596408] 
[1.3227127, 1.1526562] 
[1.3041971, 1.1599725] 
[1.4793046, 1.2819138] 
[1.3724453, 1.2453163] 
[1.3979924, 1.3660846] 
[1.2532278, 1.0150838] 
[1.268113, 1.1071321] 
[1.4544506, 1.1922562] 
[1.5355918, 1.2419764] 
[1.4443375, 1.2222328] 
[1.2112541, 0.9862069] 
[1.7193257, 1.4839134] 
[1.4400405, 1.3642297] 
[1.3863173, 1.515717] 
[1.5241208, 1.2386643] 
[1.642193, 1.5371251] 
[1.4523194, 1.2134229] 
[1.4992924, 1.2529801] 
[1.4928806, 1.2608287] 
[1.3821905, 1.1412616] 
[1.3666093, 1.1621988] 
[1.3605046, 1.5220616] 
[1.2031126, 0.88720435] 
[1.350877, 1.4646268] 
[1.4143229, 1.2076021] 
[1.6095986, 1.4940405] 
[1.5140082, 1.2585633] 
[1.0239624, 0.8567091] 
[1.3770535, 1.1089483] 
[1.4339168, 1.1742297] 
[1.5373132, 1.3008761] 
[1.1706668, 1.3174293] 
[1.3206763, 1.3913565] 
[1.2049623, 1.2603791] 
[1.0907453, 1.2515402] 
[1.2126071, 1.10427] 
[1.4597528, 1.2218238] 
[1.4114814, 1.2414584] 
[1.2307855, 1.112979] 
[1.4558369, 1.2749602] 
[1.2842591, 1.030531] 
[1.3551977, 1.4528059] 
[1.316483, 1.2093683] 
[1.422343, 1.193058] 
[1.0649574, 1.2938242] 
[1.239804, 1.2986088] 
[1.5101948, 1.3515544] 
[1.3832986, 1.1888356] 
[1.4869688, 1.2810724] 
[1.0882027, 0.8750014] 
[1.4728215, 1.1969874] 
[1.4280688, 1.201796] 
[1.4794339, 1.2689098] 
[1.1691346, 1.1557454] 
[1.3702904, 1.1574597] 
[1.4036632, 1.2236576] 
[1.1993158, 1.0285189] 
[1.4223111, 1.2420995] 
[1.5150034, 1.2680724] 
[1.4333739, 1.1311686] 
[1.6846066, 1.458155] 
[1.3169451, 1.4809816] 
[1.081471, 1.1164718] 
[1.2513953, 1.2703427] 
[1.5931538, 1.1994292] 
[1.1189804, 1.2871473] 
[1.0207146, 0.88537884] 
[1.3224628, 1.1945515] 
[1.666825, 1.469435] 
[1.3353455, 1.2024193] 
[1.529885, 1.2198093] 
[1.2361674, 1.6204154] 
[1.4104247, 1.3995384] 
[1.3258569, 1.4420333] 
[1.2540967, 1.4896731] 
[1.5561162, 1.5579457] 
[1.3717558, 1.1803813] 
[1.4028177, 1.2309701] 
[1.4139032, 1.1701437] 
[1.0619385, 0.91767657] 
[1.1809524, 0.9619857] 
[1.553297, 1.5948497] 
[1.1653411, 1.2925787] 
[1.2547927, 1.4013206] 
[1.3173449, 1.2274847] 
[1.2363253, 1.1127477] 
[1.3036616, 1.0481393] 
[1.3779968, 1.1518627] 
[1.3552134, 1.2092838] 
[1.5436026, 1.2108597] 
[1.3186522, 1.1923587] 
[1.2782145, 1.2879755] 
[1.4807105, 1.6409128] 
[1.3394892, 1.3957767] 
[1.5614083, 1.46525] 
[1.2700149, 1.2192419] 
[1.7568815, 1.5107591] 
[1.3368568, 1.1062307] 
[1.1847364, 0.97689784] 
[1.4130695, 1.1070337] 
[1.1640375, 0.9444323] 
[1.292609, 1.3031693] 
[1.3127043, 1.4183174] 
[1.5174727, 1.3822707] 
[0.9674767, 0.9664029] 
[1.4322491, 1.3773874] 
[1.619224, 1.3492527] 
[1.412196, 1.1957054] 
[1.259165, 1.0415424] 
[1.48299, 1.2656343] 
[1.3206333, 1.0887636] 
[1.3942592, 1.4647017] 
[1.2251625, 1.1900728] 
[1.4713763, 1.3485062] 
[1.1944976, 1.2338294] 
[1.3853579, 1.4390833] 
[1.4457872, 1.2388513] 
[1.3527513, 1.1372111] 
[1.4807794, 1.1913986] 
[1.2518461, 1.0377445] 
[1.1842871, 0.9475771] 
[1.3109858, 1.1780949] 
[1.49289, 1.1847687] 
[1.5052338, 1.4037974] 
[0.98965883, 1.0970823] 
[1.5495287, 1.1224439] 
[1.5106633, 1.2358376] 
[1.1781659, 1.0222957] 
[1.3172406, 1.0939269] 
[1.2244976, 1.0465786] 
[1.6960344, 1.3945131] 
[1.3765122, 1.2357177] 
[1.509844, 1.2839171] 
[1.4877906, 1.1866773] 
[1.2560731, 1.1090903] 
[1.1289855, 1.1438756] 
[1.4582828, 1.218425] 
[1.4580164, 1.2975708] 
[1.2333065, 1.0219622] 
[1.5345893, 1.3118665] 
[1.0605226, 0.9161114] 
[1.4973276, 1.3404217] 
[1.7377857, 1.4929465] 
[1.3040936, 1.2831763] 
[1.5204017, 1.3234055] 
[1.4339389, 1.3577582] 
[1.3414879, 1.1912467] 
[1.274145, 1.1105659] 
[1.4114649, 1.2064204] 
[1.0572783, 0.94325244] 
[1.5918198, 1.324028] 
[1.3512185, 1.5048592] 
[1.3669131, 1.4452829] 
[1.2139132, 1.478801] 
[1.2690482, 1.151584] 
[1.2735529, 1.6304501] 
[1.3694893, 1.1078255] 
[1.706308, 1.5028367] 
[1.3302565, 1.0210701] 
[1.7313384, 1.4398441] 
[1.5805956, 1.2391667] 
[0.97395796, 0.7364787] 
[1.3252884, 1.4762619] 
[1.2177687, 1.1486045] 
[1.1072142, 1.1449722] 
[1.4969645, 1.6129192] 
[1.8163822, 1.5479149] 
[1.4051261, 1.2623427] 
[1.5123694, 1.3411405] 
[1.4029406, 1.2566137] 
[1.2608769, 1.0618812] 
[1.4005843, 1.3447261] 
[1.5808456, 1.3731847] 
[1.4865793, 1.3770647] 
[0.95883024, 0.97331977] 
[1.3787608, 1.3434392] 
[1.2602563, 1.0542538] 
[1.2891394, 1.1966884] 
[1.5089333, 1.3548479] 
[1.2942281, 0.99354655] 
[1.2814655, 1.1833394] 
[1.3907963, 1.4921284] 
[1.3433638, 1.2035086] 
[1.2612959, 1.6039048] 
[1.4096481, 1.3581688] 
[1.5239165, 1.4312484] 
[0.9588495, 0.85496694] 
[1.4459126, 1.3205608] 
[1.2661309, 1.1267089] 
[1.5246569, 1.3018496] 
[1.5024564, 1.2930253] 
[1.2561849, 1.2143321] 
[1.1810316, 1.1286439] 
[1.299784, 1.2961408] 
[1.6629508, 1.1842501] 
[1.2437738, 1.314672] 
[1.3351638, 1.128761] 
[1.466064, 1.2987194] 
[1.6600664, 1.3283468] 
[1.3175589, 1.1219923] 
[1.5138055, 1.3466378] 
[1.0996015, 1.0798166] 
[1.4101071, 1.3745008] 
[1.2675503, 1.5236229] 
[1.3787783, 1.2890548] 
[1.2372882, 1.2641236] 
[1.4269824, 1.2911394] 
[1.2892917, 1.1792903] 
[1.591147, 1.3580048] 
[1.4029903, 1.2534444] 
[1.1783123, 0.9877611] 
[1.3932068, 1.5773245] 
[1.3305321, 1.4287456] 
[1.3351383, 1.4007311] 
[1.0928273, 1.0873429] 
[1.4275374, 1.4825816] 
[1.5531228, 1.3441471] 
[1.3845918, 1.1985081] 
[1.4145988, 1.1701407] 
[1.0848278, 0.95715415] 
[1.2353829, 1.0910069] 
[1.4165227, 1.4270226] 
[1.3928554, 1.3739347] 
[1.3967662, 1.1748176] 
[1.5113792, 1.4744754] 
[1.2142843, 1.2304915] 
[1.3610647, 1.0750479] 
[1.5484596, 1.0919362] 
[1.3334475, 1.1287159] 
[1.4613421, 1.1559789] 
[1.4368441, 1.1497746] 
[1.6586671, 1.0426197] 
[1.4003556, 1.5753742] 
[1.130856, 1.2603619] 
[1.070241, 0.7861593] 
[1.078938, 1.1730745] 
[1.4210854, 1.1585202] 
[1.2476331, 0.9929792] 
[1.4606748, 1.2735968] 
[1.2350044, 1.0532646] 
[1.24476, 1.0133098] 
[1.3055526, 1.333572] 
[1.6110299, 1.3263109] 
[1.1318082, 1.3847411] 
[1.539007, 1.5985917] 
[1.4619997, 1.2026585] 
[1.4848243, 1.2397133] 
[1.5083172, 1.3008251] 
[1.3575045, 1.1034082] 
[1.631059, 1.2795798] 
[1.2205868, 1.0402573] 
[1.5036635, 1.2630086] 
[1.2368293, 1.1388078] 
[1.2645394, 1.2662542] 
[1.2235434, 1.0561416] 
[1.4915862, 1.3727467] 
[1.6355323, 1.3914381] 
[1.2699635, 1.1132865] 
[1.6885085, 1.3871789] 
[1.2818403, 1.0902927] 
[1.3197938, 1.1122091] 
[1.2050486, 1.3049572] 
[1.1821299, 1.0391037] 
[1.1253227, 1.2157903] 
[1.1651937, 1.1193855] 
[1.1900705, 1.377399] 
[1.5306257, 1.185231] 
[1.574751, 1.3505754] 
[1.1657376, 0.9657317] 
[1.3286376, 1.1612065] 
[1.3179678, 1.0586282] 
[0.9707554, 0.9891372] 
[1.5032036, 1.6334229] 
[1.2739558, 1.1239469] 
[1.3042479, 1.2998396] 
[1.2209259, 1.2136402] 
[1.5937698, 1.3562306] 
[1.4465199, 1.2984419] 
[1.3362241, 1.2191403] 
[1.4230214, 1.2411565] 
[1.3998232, 1.2014043] 
[1.2312093, 1.239254] 
[1.3609191, 1.3126228] 
[1.2448941, 1.4121197] 
[1.4297193, 1.0008237] 
[1.2866518, 1.272293] 
[1.4761496, 1.326601] 
[1.9427015, 1.5180657] 
[1.1898434, 0.9646234] 
[1.51008, 1.3481712] 
[1.2173913, 1.0161258] 
[1.3857996, 1.6763046] 
[1.5342519, 1.5674113] 
[1.4186571, 1.3149141] 
[1.0572982, 1.2080376] 
[1.5083858, 1.380795] 
[1.2531664, 0.97045726] 
[1.1668894, 0.98109853] 
[1.7172973, 1.432109] 
[1.2992601, 1.1232708] 
[1.2530906, 0.99702907] 
[1.7053809, 1.6393621] 
[1.1440196, 1.3652575] 
[1.2960889, 1.2345655] 
[1.1597898, 1.3212667] 
[1.3989912, 1.4551528] 
[1.6500616, 1.4894588] 
[1.5417076, 1.3104938] 
[1.0290866, 0.8949698] 
[1.4413285, 1.1631476] 
[1.3580275, 1.1314933] 
[1.4954948, 1.4003195] 
[1.1533544, 1.0699782] 
[1.4789871, 0.9602171] 
[1.6978111, 1.5560777] 
[1.2874701, 1.051656] 
[1.2579501, 1.0958266] 
[1.146566, 0.9461001] 
[1.3588859, 1.1079179] 
[1.0738732, 0.8956704] 
[1.4258137, 1.2032831] 
[1.2145618, 1.113199] 
[1.5596204, 1.6877642] 
[1.322082, 1.180524] 
[1.5021479, 1.358074] 
[1.4607344, 1.3918439] 
[1.1825831, 1.0539799] 
[1.5388632, 1.2925386] 
[1.2840325, 1.0410426] 
[1.330953, 0.9246701] 
[1.312006, 1.1700525] 
[1.2204134, 1.3522477] 
[1.6189322, 1.4331603] 
[1.3521113, 1.2495787] 
[1.7549849, 1.6964033] 
[1.1892169, 1.4656867] 
[1.5398395, 1.2680931] 
[1.504349, 1.2951384] 
[1.7084999, 1.3237356] 
[1.6873283, 1.4296961] 
[1.2780716, 1.0715911] 
[1.1426499, 1.4409441] 
[1.2590435, 1.1036516] 
[1.3407571, 1.6916604] 
[1.2086014, 1.296479] 
[1.1630294, 1.3534329] 
[1.1322098, 0.9979621] 
[1.416264, 1.2006053] 
[1.1716707, 1.0239427] 
[1.2483785, 1.0871501] 
[1.4806321, 1.2773938] 
[1.1302097, 1.2033] 
[1.5358833, 1.246405] 
[1.8227897, 1.5186262] 
[1.7690187, 1.6512225] 
[1.6597087, 1.2594402] 
[1.5192087, 1.3719897] 
[1.4196734, 1.2126808] 
[1.398184, 1.1231873] 
[1.2922947, 1.1144345] 
[1.277049, 1.0897012] 
[1.4649842, 1.3236976] 
[1.4445148, 1.3680286] 
[1.2921175, 1.121491] 
[1.2800226, 1.1796103] 
[1.639583, 1.4209387] 
[1.3889732, 1.1534276] 
[1.7784852, 1.4806523] 
[1.2804308, 1.0157346] 
[1.3452345, 1.1674808] 
[1.3875091, 1.1306121] 
[1.3629277, 1.4509659] 
[1.3834312, 1.2032452] 
[0.965031, 0.8465943] 
[1.4668956, 1.1059334] 
[1.5018198, 1.4034729] 
[1.0966736, 0.9545833] 
[1.111221, 0.9644228] 
[1.3837616, 1.1817565] 
[0.88497853, 0.74873996] 
[1.407095, 1.2700808] 
[1.2377181, 1.4599937] 
[1.3374326, 1.3300952] 
[1.1810322, 1.1656762] 
[1.29235, 1.4195465] 
[1.2004411, 1.2323252] 
[1.2880915, 1.1787356] 
[1.1870043, 0.9940279] 
[1.3971314, 1.1914444] 
[1.3749017, 1.1971033] 
[1.3189647, 1.1373272] 
[1.5231612, 1.39024] 
[1.2315934, 1.2486501] 
[1.3718622, 1.4648595] 
[1.0214329, 1.1965635] 
[1.2698739, 1.1608968] 
[1.5592241, 1.3757373] 
[1.5972698, 1.3713856] 
[1.2815282, 1.0255585] 
[1.2162704, 1.1062143] 
[1.2962115, 1.0211084] 
[1.4282508, 1.4336665] 
[1.2949066, 1.1506406] 
[1.4427698, 1.2705323] 
[1.4276974, 1.2509458] 
[1.3486087, 1.5021555] 
[1.4749293, 1.2973866] 
[1.2982876, 1.0725013] 
[1.2902472, 1.0928326] 
[1.4710912, 1.1603312] 
[1.1915202, 1.0238283] 
[1.3804076, 1.1506522] 
[1.3176374, 1.1958419] 
[1.201506, 1.26173] 
[1.3408928, 1.3927796] 
[1.4291897, 1.1092567] 
[1.6445347, 1.4202611] 
[1.1210579, 0.96956533] 
[1.4212427, 1.2557532] 
[1.3609514, 1.1370422] 
[1.3596814, 1.1061897] 
[1.6385503, 1.5648435] 
[1.023251, 1.2144854] 
[1.3676267, 1.481849] 
[1.4769342, 1.2710645] 
[1.1581308, 1.3699225] 
[1.5005141, 1.2475289] 
[1.7436008, 1.494905] 
[1.4816978, 1.2441387] 
[1.630348, 1.3961914] 
[1.4757736, 1.2971356] 
[1.2350236, 1.6160706] 
[1.2727618, 1.2070609] 
[1.0808467, 1.0303366] 
[1.4810109, 1.2558091] 
[1.3635964, 1.3070171] 
[1.3520205, 1.2166585] 
[1.2835376, 1.0939283] 
[1.6565013, 1.3634276] 
[1.3506682, 1.2199094] 
[1.1187758, 0.99291366] 
[1.5056143, 1.4925255] 
[1.4524693, 1.3725855] 
[1.4290247, 1.2451086] 
[1.6985517, 1.422046] 
[1.3504944, 1.252089] 
[1.4042623, 1.227998] 
[1.7463471, 1.4503757] 
[1.1662304, 0.99758273] 
[1.0804007, 0.86508536] 
[1.3810315, 1.189534] 
[1.1993568, 1.1470724] 
[1.3753064, 1.5063505] 
[1.0154487, 1.4838936] 
[1.3161094, 1.342942] 
[1.2615969, 1.3570083] 
[1.2577927, 1.0506327] 
[1.6688092, 1.350743] 
[1.6127433, 1.3683338] 
[1.5903863, 1.2815087] 
[1.1773521, 1.0183046] 
[1.2903019, 0.9847394] 
[1.2647007, 1.3731545] 
[1.051697, 1.0476105] 
[1.3255069, 1.1250932] 
[1.1064694, 1.3238277] 
[1.3707933, 1.1970713] 
[1.3178424, 1.0356529] 
[1.1353781, 0.87421906] 
[1.4448304, 1.2542069] 
[1.4172225, 1.2679764] 
[1.312258, 1.6125755] 
[1.3641304, 1.6804383] 
[1.3480787, 1.2142272] 
[1.3741792, 1.7102685] 
[1.332695, 1.441205] 
[2.1575685, 1.8323091] 
[1.3217595, 1.1397221] 
[1.3837868, 1.1444701] 
[1.3781224, 1.1882463] 
[1.2917235, 1.0796505] 
[1.4369781, 1.4803685] 
[1.3561682, 1.4080335] 
[1.4262381, 1.6003052] 
[1.512965, 1.2497904] 
[1.3999542, 1.117528] 
[1.4743524, 1.2223397] 
[1.3467269, 1.1903207] 
[1.2448738, 1.0173194] 
[1.4724627, 1.2753978] 
[1.2749219, 1.0971961] 
[1.5342814, 1.3089371] 
[1.4716626, 1.539198] 
[1.4006481, 1.0186056] 
[1.4152355, 1.3611306] 
[1.4492025, 1.4362178] 
[1.633964, 1.4398744] 
[1.1215482, 0.98899204] 
[1.2256366, 0.9940493] 
[1.2415783, 1.0562382] 
[1.3299203, 1.1351452] 
[1.009433, 1.1588836] 
[1.0281695, 1.3283895] 
[1.1542422, 1.3126979] 
[1.2220896, 1.20066] 
[1.5674057, 1.5176477] 
[1.5876104, 1.4434047] 
[1.2467211, 1.0297809] 
[1.419994, 1.1310515] 
[1.4593711, 1.2414037] 
[1.0617291, 0.96399707] 
[1.3251671, 1.3232745] 
[1.0144104, 1.0796249] 
[1.4884095, 1.4693105] 
[1.35826, 1.3688333] 
[1.2214361, 1.2067269] 
[1.480588, 1.3240814] 
[1.4760835, 1.2861519] 
[1.1524872, 1.0330405] 
[1.5909333, 1.1835022] 
[1.4927274, 1.3008008] 
[1.189163, 1.3778956] 
[1.2385222, 1.2093349] 
[1.5614324, 1.4057267] 
[1.2675819, 1.1289577] 
[1.4363751, 1.6567941] 
[1.4950213, 1.3169899] 
[1.2278035, 1.0884635] 
[1.1212637, 0.9256615] 
[1.2592123, 1.1091707] 
[1.1019139, 0.95033896] 
[1.5587106, 1.561718] 
[1.4821332, 1.2917242] 
[1.2179375, 1.2425267] 
[1.2449994, 1.4040828] 
[1.0124178, 1.1162524] 
