[0.8792513, 0.9578967] 
[1.2377021, 1.1681501] 
[1.1896257, 1.2511983] 
[1.0840139, 1.0595117] 
[1.0091684, 0.98873204] 
[1.0783101, 0.97931486] 
[1.1209496, 0.9681007] 
[1.0808233, 0.98040366] 
[1.1819122, 1.0606396] 
[0.9216718, 0.81098676] 
[1.0200433, 0.9354773] 
[1.1253071, 1.1902874] 
[1.2594614, 1.1769558] 
[0.8955297, 0.925287] 
[1.0107665, 1.0374289] 
[1.0220249, 0.90524787] 
[1.1243033, 1.0028758] 
[1.0594227, 0.91701823] 
[1.0960836, 0.9793308] 
[1.0664093, 0.96031046] 
[0.91743964, 0.90843695] 
[1.0357099, 0.89787257] 
[1.1101125, 1.1820021] 
[0.9217274, 0.96123505] 
[0.8780086, 1.017061] 
[1.0552077, 0.9511838] 
[0.9271941, 0.7308245] 
[1.0768194, 0.96423876] 
[1.4203391, 1.2319638] 
[1.0714405, 0.9436638] 
[1.0133886, 1.0192286] 
[1.0082307, 1.122421] 
[1.1566575, 1.1902122] 
[1.0502987, 0.97739506] 
[0.9749493, 1.111713] 
[1.1363995, 0.99926513] 
[1.1976495, 1.067914] 
[1.0645416, 0.9425514] 
[0.9944804, 0.8439772] 
[1.0655789, 0.96667427] 
[1.1161773, 0.99641585] 
[1.0750629, 1.11213] 
[1.1439686, 1.1378204] 
[1.0847191, 0.91224885] 
[1.032359, 1.0614235] 
[1.1837015, 1.086957] 
[1.1208248, 1.0030661] 
[1.1270635, 1.0181633] 
[1.2056475, 1.0650293] 
[1.1190088, 0.99644077] 
[1.0888708, 1.0862056] 
[1.1161588, 1.059679] 
[1.1225815, 1.0890244] 
[1.118829, 1.0827332] 
[1.1295896, 1.1070912] 
[1.0700388, 0.9125607] 
[1.1156733, 1.0316336] 
[1.0062302, 0.8784513] 
[1.1953137, 1.035913] 
[1.1491139, 1.0171163] 
[1.117964, 1.0713277] 
[1.135119, 1.0917009] 
[1.0496676, 0.94884] 
[1.1333485, 1.1312871] 
[1.0782077, 1.0331982] 
[1.1042885, 0.9768125] 
[1.1174766, 0.9304356] 
[1.071763, 0.8937048] 
[1.1011473, 0.92772484] 
[1.130338, 0.94832593] 
[0.90827787, 0.9990775] 
[1.1407691, 1.202637] 
[1.2489238, 1.1138433] 
[0.9578652, 0.9761131] 
[1.0376503, 0.9589454] 
[1.1062313, 0.96032816] 
[1.2286034, 1.0396192] 
[1.0087394, 0.8913684] 
[0.9943384, 0.9002198] 
[1.0891111, 0.94924116] 
[1.0829153, 0.9996082] 
[1.1376581, 1.1077206] 
[1.1207014, 1.1921244] 
[1.0560403, 1.050105] 
[0.9938042, 1.1033629] 
[0.9893502, 0.8711191] 
[0.9538797, 0.85139287] 
[1.0869707, 0.96367455] 
[0.99641865, 0.88877875] 
[1.0442169, 0.93164366] 
[0.9506854, 0.9407923] 
[1.1191809, 1.0261387] 
[1.0038674, 0.91778636] 
[1.230848, 1.0730176] 
[1.0067213, 1.0574851] 
[1.0550531, 0.9416281] 
[1.0089543, 0.9127457] 
[1.0828786, 0.94766307] 
[1.2257662, 1.0683632] 
[0.95221686, 0.8255258] 
[1.0836861, 1.1528752] 
[1.1051342, 1.12533] 
[1.0171275, 0.9693785] 
[1.0553584, 1.1094222] 
[0.85956764, 0.90203786] 
[1.0045686, 0.86556697] 
[1.0720007, 0.8831497] 
[1.2571704, 1.0716509] 
[1.1785715, 0.9838978] 
[1.040245, 0.90804327] 
[1.1907555, 1.2200221] 
[1.0433524, 1.0439459] 
[1.1688166, 1.2366258] 
[1.0625782, 1.0634] 
[1.1150964, 1.1027772] 
[1.1806004, 1.0487897] 
[1.258959, 1.0940335] 
[1.0901344, 0.97393334] 
[1.2653819, 1.0964551] 
[1.2179852, 1.0610173] 
[1.1724907, 1.0460446] 
[0.9462669, 0.98415697] 
[0.9870839, 0.97070074] 
[1.0900445, 1.0098656] 
[1.1445502, 1.1011434] 
[1.0620592, 0.93801886] 
[1.2811646, 1.1519566] 
[1.1375172, 1.0508181] 
[1.1624277, 1.0712243] 
[1.110841, 1.0411912] 
[1.1006024, 1.0375026] 
[1.0111632, 1.0760651] 
[1.0871496, 1.0280225] 
[1.1921675, 1.1614852] 
[1.2046238, 1.1892583] 
[1.1285361, 0.98838913] 
[1.1061642, 1.0007329] 
[1.138073, 0.96879965] 
[1.0306329, 0.8790277] 
[1.0420638, 0.9403267] 
[1.0304483, 0.90663743] 
[1.1418445, 1.1134064] 
[1.0536005, 0.9402753] 
[0.97080064, 1.0576674] 
[1.1099907, 1.0258551] 
[1.1333656, 1.0388681] 
[1.1815901, 1.0712721] 
[1.1837077, 1.0720129] 
[1.044572, 0.8914395] 
[1.0720282, 0.9699969] 
[0.9735518, 0.9475391] 
[1.0753193, 1.0049427] 
[1.0381343, 1.0413245] 
[1.0309118, 1.0831096] 
[0.9840162, 1.0064359] 
[1.0448684, 0.9286727] 
[1.1122874, 1.0256945] 
[1.2710543, 1.1210251] 
[0.9699288, 0.87968314] 
[1.1411164, 1.0112169] 
[0.9933139, 0.978683] 
[1.2468455, 1.1690096] 
[0.89300984, 1.1338828] 
[1.0952992, 1.189867] 
[1.0199157, 1.0853362] 
[1.0863751, 0.92024136] 
[1.0863, 0.9466264] 
[1.0454748, 0.94378793] 
[1.1106622, 1.0095782] 
[1.1772395, 1.04966] 
[1.1404613, 1.0475874] 
[1.1107476, 1.1910417] 
[1.2446489, 1.2007616] 
[1.0975912, 1.0933627] 
[1.1716741, 1.0671802] 
[1.0471951, 0.85012114] 
[1.1380213, 0.99319005] 
[1.0929828, 0.9475132] 
[1.0342344, 0.8828888] 
[1.186114, 1.0046924] 
[1.0953977, 0.9681062] 
[1.0179384, 1.0886016] 
[1.1264961, 1.0691879] 
[1.0905721, 1.1065947] 
[1.0960324, 1.1461304] 
[1.0811006, 0.9057796] 
[1.1159333, 0.9432483] 
[1.0509894, 0.9313071] 
[1.0495045, 0.8956233] 
[1.0903614, 0.96273077] 
[1.0677781, 1.1122098] 
[1.0919462, 1.0106661] 
[1.0388353, 1.0454725] 
[1.1163889, 1.1600399] 
[1.1101632, 1.030894] 
[1.0620167, 0.97890043] 
[1.0222752, 0.924102] 
[1.0872614, 1.0250359] 
[0.9539054, 0.8576559] 
[1.1142507, 0.964717] 
[1.0811335, 1.1244009] 
[1.2246997, 1.1785423] 
[1.1324509, 1.1141944] 
[1.101569, 1.0164177] 
[0.99744594, 0.96705127] 
[1.0784278, 0.9450909] 
[1.2001433, 1.057485] 
[1.2823029, 1.1170306] 
[1.0939444, 0.9735308] 
[1.0119386, 0.82019323] 
[1.0225166, 1.0309739] 
[1.203335, 1.2113929] 
[1.0744171, 1.1724648] 
[1.2370759, 1.2376184] 
[1.1716758, 1.2096397] 
[1.1774242, 1.0500143] 
[1.0207796, 0.88827026] 
[1.2489748, 1.046767] 
[1.2958047, 1.0992024] 
[1.1687951, 1.0130283] 
[1.0604186, 1.0281622] 
[1.0848305, 1.1115009] 
[1.2073214, 1.1920755] 
[0.93126345, 0.91051364] 
[1.1312435, 1.1050358] 
[1.0213056, 0.882214] 
[1.076448, 0.96914506] 
[0.9987392, 0.8828684] 
[1.019126, 0.904866] 
[1.0139718, 0.8949411] 
[1.11219, 0.9778806] 
[1.0583334, 1.0231668] 
[0.9806225, 0.9734551] 
[0.9963466, 1.040842] 
[1.2698889, 1.1523421] 
[1.2246661, 1.0673877] 
[1.050296, 0.95015293] 
[1.185955, 1.0094535] 
[1.1606225, 0.97906595] 
[1.0209088, 0.88701355] 
[0.9813797, 1.0127568] 
[1.0651841, 1.1164854] 
[0.90134525, 1.0078058] 
[0.99616873, 1.0065019] 
[1.0558412, 1.2022793] 
[1.1033623, 0.9390342] 
[1.0498548, 0.9011939] 
[1.169785, 1.0174325] 
[1.0806696, 0.93727887] 
[1.2360923, 1.0526564] 
[1.1993229, 1.1903498] 
[1.1345291, 1.1480916] 
[0.9001254, 0.9906844] 
