[1.1901062, 1.1938992] 
[1.1693159, 1.210631] 
[1.14663, 1.183476] 
[1.0928798, 0.99901485] 
[1.0256803, 0.9139129] 
[1.1762598, 1.0451767] 
[1.0667042, 0.9782927] 
[1.0949843, 0.98104435] 
[1.0760463, 0.9613509] 
[0.98159313, 0.8683207] 
[1.1483779, 1.1486256] 
[1.0524063, 1.0459516] 
[0.9838814, 1.0047388] 
[1.1189542, 1.0663152] 
[0.89309216, 0.9078319] 
[1.0288087, 0.9263775] 
[0.9345862, 0.8261546] 
[1.0806352, 0.9802121] 
[0.8971839, 0.77425873] 
[1.1382866, 1.002217] 
[1.1018436, 1.1423292] 
[1.1325064, 1.1981585] 
[1.1385432, 1.1520536] 
[1.1456977, 1.2135358] 
[1.1685147, 1.1487784] 
[1.0616449, 0.9554753] 
[0.99978167, 0.8482047] 
[1.2336837, 1.1035807] 
[1.1288579, 1.0326626] 
[1.052787, 0.93807685] 
[0.97292995, 0.98005664] 
[1.1289009, 1.0396549] 
[1.0898895, 1.0518426] 
[1.0007906, 1.0119848] 
[1.1168687, 1.0336937] 
[0.9885067, 0.8874052] 
[0.8986903, 0.80602247] 
[1.1410015, 0.97440475] 
[1.1852653, 1.0703983] 
[1.2318748, 1.1225574] 
[1.0159674, 0.85274863] 
[1.1787345, 1.1407113] 
[0.97081614, 0.9151359] 
[1.0875151, 1.1048806] 
[1.1297338, 1.1949148] 
[1.2815986, 1.1589636] 
[0.99495614, 0.9099994] 
[1.0922148, 1.0289259] 
[0.9965365, 0.90196806] 
[1.0986621, 1.0005416] 
[1.0434759, 1.0144904] 
[0.97269034, 0.9370452] 
[1.0182513, 1.0084715] 
[1.1682075, 1.1785872] 
[1.1136601, 0.99795234] 
[1.0419085, 0.9688639] 
[1.0363419, 0.9681821] 
[1.0255741, 0.94308054] 
[0.9701905, 0.86648375] 
[1.0950435, 0.9925449] 
[1.041324, 1.0707364] 
[1.0694873, 1.038803] 
[1.0384638, 0.96770036] 
[1.1326357, 1.1184102] 
[0.8490377, 0.9318723] 
[1.083821, 0.9294096] 
[0.99982524, 0.86218166] 
[1.1242032, 0.9655628] 
[1.0878842, 0.92284304] 
[0.98941034, 0.85498077] 
[1.0220091, 1.0432907] 
[1.2239178, 1.1674877] 
[1.0734887, 1.1195158] 
[1.0682595, 1.0005684] 
[1.0641024, 1.0834601] 
[1.029993, 0.8865686] 
[1.1740524, 1.0486809] 
[0.96723473, 0.79812837] 
[1.2952273, 1.1162267] 
[1.0475602, 0.92059] 
[1.1071328, 1.096518] 
[1.1848927, 1.1958697] 
[1.0628421, 0.9995277] 
[1.0780171, 1.0367056] 
[1.1102479, 1.0952305] 
[0.96770287, 0.8603199] 
[0.99790037, 0.88580114] 
[1.1070099, 1.0064789] 
[1.0563796, 0.93216133] 
[1.0822306, 0.9737634] 
[1.099828, 1.0937245] 
[0.9613691, 0.9401944] 
[0.99993426, 0.9775776] 
[0.9968273, 1.0290947] 
[1.0716898, 1.0823743] 
[0.9898217, 0.8796987] 
[1.1433603, 1.0158648] 
[1.1004155, 0.9513479] 
[1.0125763, 0.8845223] 
[1.0989956, 0.97020984] 
[1.2209806, 1.2054536] 
[0.8022692, 0.82454526] 
[1.3810823, 1.2410315] 
[0.810928, 0.9144769] 
[1.1284077, 1.0541401] 
[1.0450794, 0.95893157] 
[1.1975373, 1.0941049] 
[1.0320876, 0.9384041] 
[1.0413514, 0.94296026] 
[0.98658186, 0.90225214] 
[1.033866, 1.03653] 
[1.07707, 1.0286803] 
[1.044874, 1.0625155] 
[1.0862743, 1.0316997] 
[1.0122747, 1.1364682] 
[1.0613546, 0.93051976] 
[1.0321482, 0.95105743] 
[1.1315229, 1.040483] 
[0.99685216, 0.88686234] 
[1.0639081, 0.9683719] 
[1.1321831, 1.0838753] 
[1.0332763, 0.9600071] 
[0.9179785, 0.87088454] 
[1.0348666, 1.0249178] 
[1.055125, 1.0459762] 
[1.228054, 1.1206429] 
[0.988648, 0.8824034] 
[1.1059825, 0.9812848] 
[0.95110047, 0.85754937] 
[1.0628077, 0.95663404] 
[0.98415816, 0.9673313] 
[1.0586383, 1.07488] 
[1.0305312, 0.99528587] 
[0.99481916, 1.0650575] 
[1.0348698, 0.9933318] 
[0.9784845, 0.89782524] 
[0.9858146, 0.8584317] 
[0.9014322, 0.773126] 
[1.1741924, 1.0368232] 
[1.1860666, 1.0283922] 
[1.118322, 1.0414081] 
[1.065131, 1.181332] 
[1.137466, 1.1623608] 
[1.0861057, 0.99978197] 
[1.1401843, 0.998444] 
[1.1146376, 0.97328615] 
[0.9558395, 0.86592746] 
[1.1998873, 1.0352569] 
[1.0738368, 0.93484366] 
[0.9951704, 0.8947643] 
[1.184288, 1.1868823] 
[1.1162884, 1.1316452] 
[1.0427508, 0.9823761] 
[1.1135132, 1.0987244] 
[0.9354584, 0.9474093] 
[1.1445565, 1.0104487] 
[1.0627916, 0.9402746] 
[0.9292128, 0.83055806] 
[1.1403646, 1.012668] 
[1.0194399, 0.9392099] 
[1.209945, 1.1830447] 
[1.1303775, 1.0547328] 
[1.0836499, 1.1461574] 
[1.1149876, 1.1353204] 
[1.1713312, 0.9697716] 
[1.053437, 0.9731771] 
[1.2374017, 1.1099001] 
[1.1406296, 1.0340086] 
[1.2148081, 1.0718946] 
[0.997059, 0.8896363] 
[1.0969212, 0.98439264] 
[1.1434762, 1.2392006] 
[1.1218534, 1.0039582] 
[1.1238222, 1.1247005] 
[1.1629367, 1.1908755] 
[1.1283112, 1.0340519] 
[1.2355126, 1.1195922] 
[1.0037906, 0.9239534] 
[1.0999165, 0.9843495] 
[0.9447328, 0.8671577] 
[0.97556263, 0.92947024] 
[1.0417254, 0.98816496] 
[1.043916, 1.0266248] 
[1.0557802, 1.0612767] 
[1.0754285, 1.0308039] 
[0.9554494, 0.88468397] 
[1.1561497, 1.0651159] 
[1.131519, 1.0574266] 
[0.9572725, 0.8821367] 
[1.09098, 1.0051993] 
[1.0819288, 0.9770264] 
[1.0491114, 1.0191832] 
[1.0173393, 0.93530256] 
[0.8621689, 0.79680616] 
[1.0132601, 0.9927864] 
[1.0382754, 0.86425394] 
[0.9396452, 0.805095] 
[1.1180882, 1.0016814] 
[0.8890251, 0.7999355] 
[0.9423425, 0.82947266] 
[1.0975161, 1.0487901] 
[1.027142, 1.0006313] 
[0.9199411, 0.9448441] 
[1.2971859, 1.2234156] 
[0.9060397, 0.80296206] 
[1.0630659, 0.9444281] 
[1.0341299, 0.90563154] 
[0.8866055, 0.7146155] 
[1.2560225, 1.0805135] 
[1.0009415, 0.87155116] 
[1.1243435, 1.1676042] 
[0.811398, 0.7534231] 
[1.1648154, 1.1385515] 
[0.76453125, 0.9434374] 
[1.0780909, 1.1719195] 
[0.99794716, 0.86835307] 
[1.0062364, 0.89378315] 
[1.0633414, 0.9297625] 
[0.9416723, 0.8326677] 
[1.0514102, 0.9118887] 
[1.2899057, 1.2635027] 
[1.0464262, 1.1000391] 
[1.1109043, 1.0819036] 
[0.9309176, 0.96416354] 
[1.1667366, 1.0601377] 
[1.0763404, 0.9723166] 
[1.0345038, 0.9129295] 
[1.0957294, 0.99763733] 
[1.2716982, 1.158328] 
[1.28739, 1.1722322] 
[1.093415, 1.127785] 
[0.98098147, 0.93583906] 
[1.1490054, 1.0263906] 
[1.1152545, 1.1421578] 
[1.1682677, 1.0483922] 
[1.1645467, 1.0764278] 
[1.1005701, 0.99054015] 
[0.98484015, 0.93664694] 
[0.97182226, 0.8984596] 
[0.8939591, 0.8433905] 
[1.07803, 0.9417559] 
[0.8536592, 0.8915731] 
[1.0252192, 0.94958305] 
[1.1174436, 1.0862081] 
[1.0012517, 1.0008805] 
[1.1498989, 1.0458152] 
[1.0580801, 0.9490998] 
[1.0367662, 0.9193812] 
[0.90808475, 0.8074671] 
[1.206188, 1.0742459] 
[0.8865051, 0.86761856] 
[1.0046208, 1.0294932] 
[1.1205318, 1.0892682] 
[0.99227965, 0.94747674] 
[1.1538037, 1.1821351] 
[1.1840674, 1.0491635] 
[1.0789987, 0.9557218] 
[1.0714312, 0.9462013] 
[1.0529735, 0.90442324] 
[1.0826261, 0.935112] 
[0.9381574, 0.92893386] 
[1.1447315, 1.0701149] 
[1.1605906, 1.1617713] 
[0.98137784, 1.025476] 
[1.1848471, 1.08925] 
[1.1838363, 1.0703521] 
[1.01173, 0.9291831] 
[1.1678853, 1.0849079] 
[0.9513462, 0.8629588] 
[1.1095774, 0.9899039] 
[1.0870588, 1.134131] 
[1.1203868, 1.0588149] 
[0.96309835, 0.9011866] 
[1.1221956, 1.1585474] 
[1.1418463, 1.0932255] 
[1.0172656, 0.93169564] 
[1.1094208, 1.0396605] 
[1.064697, 0.9864654] 
[0.96554035, 0.9162354] 
[1.007786, 0.95192957] 
[0.9474505, 0.9398957] 
[1.0253662, 0.94942254] 
[0.9593917, 0.9199617] 
[1.1299386, 1.140651] 
[1.0867758, 1.044625] 
[1.137663, 1.0498755] 
[0.9993117, 0.919031] 
[1.1263671, 1.0321436] 
[1.0019795, 0.92751217] 
[1.1439065, 1.0626528] 
[1.1839106, 1.0697162] 
[1.1131798, 1.0427976] 
[1.0705988, 0.9926219] 
[1.0002198, 1.0129406] 
[1.028872, 0.99159706] 
[1.0953691, 1.0093539] 
[1.1410831, 1.048275] 
[1.0440459, 0.96323264] 
[1.1418699, 1.0362675] 
[1.1028748, 0.9874506] 
[1.0351992, 1.0405335] 
[0.95616496, 0.9940616] 
[0.9889406, 1.0322179] 
[1.0002961, 0.9888421] 
[1.030415, 0.8887382] 
[1.0431428, 0.95113075] 
[0.9107408, 0.8029197] 
[1.1665914, 1.0666008] 
[1.0576184, 0.95568657] 
[0.9839705, 0.89289904] 
[1.090225, 1.0428817] 
[1.163056, 1.158925] 
[1.0530696, 1.1183639] 
[1.0308297, 1.053203] 
[0.9938526, 1.0497711] 
[1.0968943, 1.0112917] 
[1.1193585, 1.0315821] 
[1.1230733, 1.0483518] 
[1.0367913, 0.9766104] 
[1.0292102, 0.9345067] 
[1.0907154, 1.0835435] 
[1.130796, 1.0933915] 
[0.9720761, 0.9884586] 
[1.0432584, 0.95201916] 
[0.9750085, 0.97166955] 
[1.0032911, 0.9280524] 
[1.0443923, 0.97097015] 
[0.9328495, 0.86773634] 
[1.1543783, 1.0542967] 
[1.0137464, 0.9459405] 
[0.89106464, 0.9060693] 
[1.0548984, 1.0452212] 
[1.06805, 0.9710417] 
[1.1032089, 1.1329334] 
[0.9785282, 0.9856272] 
[1.0517074, 0.9541166] 
[1.1058235, 1.0012181] 
[1.0671803, 0.968875] 
[1.0056877, 0.9397702] 
[1.0479951, 0.9308966] 
[1.0601482, 1.0549015] 
[1.0894451, 1.0198514] 
[0.99849194, 0.9929577] 
[0.9646745, 0.99656177] 
[1.0201077, 1.189501] 
[1.192303, 1.0803401] 
[0.98866326, 0.90599054] 
[1.156002, 1.041349] 
[0.93975437, 0.8283801] 
[1.0333142, 0.8780918] 
[1.1888565, 1.0939775] 
[1.1093473, 1.090801] 
[1.2402279, 1.2924316] 
[1.0783219, 0.9422524] 
[1.1384372, 1.1768248] 
[1.1474172, 1.0106428] 
[1.0804459, 0.9807666] 
[1.0841491, 0.9937336] 
[1.1696284, 1.0481856] 
[1.1331631, 0.995736] 
[1.0095899, 0.8966085] 
[1.1127391, 1.0093331] 
[1.0916336, 1.0952996] 
[0.9148127, 0.90124065] 
[1.258007, 1.2031914] 
[1.084972, 0.977195] 
[1.1556244, 1.055897] 
[0.9309113, 0.8449092] 
[1.056783, 0.96955884] 
[1.1287642, 1.0578084] 
[1.1449132, 1.0759335] 
[1.0687104, 1.0316005] 
[1.0331175, 1.0484779] 
[0.97020173, 0.9857651] 
[1.11096, 1.012461] 
[1.0947845, 1.0123566] 
[1.1546926, 1.0758504] 
[1.0523243, 0.9608638] 
[0.9768549, 0.89590293] 
[1.0346143, 0.9475586] 
[0.8686961, 0.88311684] 
[0.98074794, 0.97380185] 
[0.9338338, 0.89287245] 
[0.9499759, 0.8269028] 
[1.2909849, 1.2068986] 
[0.83157754, 0.6707355] 
[1.3511324, 1.1587481] 
[0.9301063, 0.8224152] 
[1.0376254, 0.8996954] 
[1.2265066, 1.0187721] 
[1.1612368, 1.1745] 
[1.171394, 1.1309769] 
[1.0060738, 1.0097077] 
[1.0527482, 0.97900236] 
[1.0291145, 1.0169759] 
[1.1109457, 1.0299444] 
[0.96366435, 0.8698121] 
[1.0573889, 0.946689] 
[1.2455144, 1.116272] 
[1.099786, 1.0311244] 
[0.998999, 0.9838624] 
[1.0349205, 1.2106639] 
[0.9683554, 1.0007458] 
[0.9308677, 0.9805558] 
[1.1180029, 1.0880226] 
[1.0825682, 0.9690838] 
[1.0436667, 0.9545464] 
[1.0840951, 1.0024408] 
[1.0259421, 0.9583277] 
[1.0256306, 0.9165871] 
[1.0704088, 1.0063869] 
