[1.3405406, 1.1904826] 
[1.4142808, 1.1780798] 
[1.410583, 1.5281512] 
[1.3682802, 1.2852479] 
[1.1455958, 1.0346954] 
[1.4615299, 1.1689581] 
[1.5594685, 1.3284154] 
[1.3689665, 1.1391233] 
[1.5111251, 1.3285341] 
[1.2147087, 0.99232024] 
[1.4165361, 1.3673594] 
[1.3976231, 1.4691775] 
[1.3003318, 1.3687117] 
[1.4373802, 1.5014627] 
[1.4354298, 1.162158] 
[1.6941595, 1.3901124] 
[1.3054614, 0.9836421] 
[1.8866711, 1.6225791] 
[1.144225, 0.9442767] 
[1.8361783, 1.5596924] 
[1.5972797, 1.7425507] 
[1.3778095, 1.3032054] 
[1.3626754, 1.5900154] 
[1.3870385, 1.5981102] 
[1.3325403, 1.6798615] 
[1.6900567, 1.4511328] 
[1.0653043, 0.88709766] 
[1.4951296, 1.1967491] 
[1.678819, 1.3983877] 
[1.6717046, 1.3576543] 
[1.4616718, 1.0179555] 
[1.6018476, 1.6310071] 
[1.6553499, 1.477521] 
[1.6069661, 1.5780282] 
[1.6322134, 1.5500352] 
[1.3339634, 1.1535609] 
[1.8332974, 1.5395737] 
[1.6281272, 1.3992172] 
[1.4548997, 1.1660173] 
[1.4858185, 1.2667392] 
[1.4224863, 1.3741759] 
[1.3404361, 1.4689388] 
[1.4116402, 1.7166963] 
[1.3420923, 1.3847928] 
[1.4727782, 1.4392619] 
[1.1559055, 1.0211774] 
[1.6058799, 1.4213059] 
[1.1781609, 0.9947715] 
[1.2317157, 1.0491967] 
[1.4367757, 1.1554728] 
[1.2972564, 1.1954048] 
[1.7476227, 1.6373833] 
[1.2912029, 1.3845085] 
[1.2596333, 1.4244624] 
[1.4439346, 1.4928203] 
[1.7391589, 1.5978523] 
[1.3993413, 1.1818273] 
[1.7303677, 1.4745803] 
[1.4215249, 1.2627199] 
[1.3021946, 1.0153477] 
[1.2178614, 1.3838332] 
[1.4811683, 1.640259] 
[1.4857442, 1.2649641] 
[1.4906552, 1.4607782] 
[1.0668375, 1.2786379] 
[1.566223, 1.3132327] 
[1.5669291, 1.3366365] 
[1.9587, 1.5150554] 
[1.243028, 1.095367] 
[1.3188156, 1.2531681] 
[1.2693286, 1.1366725] 
[1.2913823, 1.4548638] 
[1.3894188, 1.3212626] 
[1.4502536, 1.1809633] 
[1.6074092, 1.7008598] 
[1.4217772, 1.1772747] 
[1.4294438, 1.1491574] 
[1.252304, 1.1511772] 
[1.604135, 1.4165075] 
[1.511692, 1.3110604] 
[1.28203, 1.7650583] 
[1.5216591, 1.5864947] 
[1.2512949, 1.1380547] 
[1.3364006, 1.413321] 
[0.9165362, 1.1828613] 
[1.3445624, 1.1781495] 
[1.3900087, 1.2568631] 
[1.4593322, 1.2696626] 
[1.9312847, 1.7272406] 
[1.5250543, 1.3843608] 
[1.3544891, 1.2873545] 
[1.0895834, 1.3449733] 
[1.6861472, 1.7283171] 
[1.3319501, 1.1767498] 
[1.3803755, 1.5546577] 
[1.3355508, 1.1953702] 
[1.676168, 1.3428209] 
[1.4050682, 1.2449512] 
[1.070819, 0.88600224] 
[1.2095326, 1.071411] 
[1.847692, 1.4695699] 
[0.98163116, 1.1406797] 
[1.3543144, 1.8017966] 
[1.7616855, 1.7772598] 
