[1.3100863, 1.2175997] 
[1.12944, 1.1884413] 
[1.3528636, 1.205442] 
[1.2820328, 1.3518077] 
[1.098181, 1.4615719] 
[1.5215727, 1.2428607] 
[1.2341213, 1.0479789] 
[1.4697876, 1.215044] 
[1.2962589, 1.09795] 
[1.3707147, 1.1357403] 
[1.5002116, 1.3467103] 
[1.7936025, 1.5972481] 
[1.3560963, 1.3927715] 
[1.3790524, 1.151907] 
[1.047035, 1.1680771] 
[1.2866002, 1.1071514] 
[1.127531, 0.9765964] 
[1.3641927, 1.2042902] 
[1.651979, 1.4295087] 
[1.5433263, 1.2993035] 
[1.552397, 1.2414148] 
[1.2362022, 1.2000413] 
[1.2783372, 1.0583093] 
[1.4799553, 1.4604969] 
[1.0060666, 1.4826903] 
[1.5311418, 1.2575719] 
[1.2815021, 1.0968957] 
[1.1326675, 0.9258572] 
[1.1675202, 0.91623855] 
[1.6323457, 1.3374456] 
[1.1759708, 1.0551989] 
[1.2648442, 1.5270541] 
[1.4195919, 1.1978997] 
[1.2531607, 1.0946782] 
[1.4191487, 1.2324004] 
[1.3658671, 1.1405811] 
[1.2511605, 1.053104] 
[1.3994589, 1.1696365] 
[1.4230852, 1.0883493] 
[1.2428393, 1.044648] 
[1.5042133, 1.7663572] 
[1.460533, 1.4270375] 
[1.3373895, 1.3364253] 
[1.1416675, 1.1331509] 
[0.9437187, 1.1229169] 
[1.4221396, 1.2303288] 
[1.3541586, 1.2178972] 
[1.7917546, 1.5303321] 
[1.3921523, 1.1655494] 
[1.3345699, 1.1199865] 
[1.4178014, 1.5340927] 
[0.8276036, 1.2577461] 
[1.361742, 1.6406858] 
[1.3325794, 1.3101041] 
[1.2134459, 1.4474663] 
[1.920486, 1.5577276] 
[1.1938064, 0.9670659] 
[1.2051804, 1.0366995] 
[1.1803715, 0.96997666] 
[1.5894108, 1.3871156] 
[1.4236476, 1.5477667] 
[1.3452959, 1.3695589] 
[1.4531424, 1.2710661] 
[1.3446, 1.3164653] 
[1.3387015, 1.4728992] 
[1.4111785, 1.1669888] 
[1.3205957, 1.0792313] 
[1.4801074, 1.3369757] 
[1.5499774, 1.3563118] 
[1.1149601, 0.95255655] 
[1.429079, 1.1799217] 
[1.3526728, 1.2696815] 
[1.1021389, 1.037957] 
[1.3448927, 1.1653271] 
[1.3728497, 1.3671893] 
[1.5178854, 1.3775876] 
[1.2737453, 1.107027] 
[1.2009853, 0.9771023] 
[1.2456598, 1.0673672] 
[1.2526292, 1.1198752] 
[1.4327929, 1.0575776] 
[1.2417024, 1.6089613] 
[1.4523618, 1.2388827] 
[1.6503403, 1.3837041] 
[1.31559, 1.2140484] 
[1.43788, 1.2771012] 
[1.3150698, 1.1392231] 
[1.3818803, 1.1841583] 
[1.320074, 1.11607] 
[1.1376367, 0.929415] 
[1.67782, 1.5586704] 
[1.3578783, 1.4069443] 
[1.2717166, 1.2263365] 
[1.1483266, 0.87198734] 
[1.2331874, 1.2732766] 
