[1.519231, 1.6276677] 
[1.3993988, 1.2445949] 
[1.5976942, 1.5744452] 
[1.318836, 1.1322199] 
[1.2560626, 1.4767506] 
[1.6444664, 1.4453361] 
[1.3922675, 1.1327791] 
[1.5740294, 1.367265] 
[1.6804104, 1.3861473] 
[1.7739468, 1.5199215] 
[1.2932545, 1.0259339] 
[1.5188231, 1.1950381] 
[1.1765883, 1.0633795] 
[1.5214586, 1.3449674] 
[1.5024834, 1.4737848] 
[1.6233927, 1.4586374] 
[1.5990154, 1.3047462] 
[1.5232902, 1.376389] 
[1.3523519, 1.1958308] 
[1.520088, 1.3284166] 
[1.4888668, 1.570498] 
[1.4633355, 1.5041164] 
[1.414392, 1.4183996] 
[1.312849, 1.4953862] 
[1.2170613, 1.0679904] 
[1.6735892, 1.4270306] 
[1.6467829, 1.4469941] 
[1.2041653, 0.8991977] 
[1.2730451, 0.8977089] 
[1.3105338, 1.0248195] 
[1.5408812, 1.4194092] 
[1.501254, 1.3853384] 
[1.1980426, 1.4196119] 
[1.4383159, 1.1905892] 
[1.9013788, 1.4745389] 
[1.1578903, 0.9523376] 
[1.896641, 1.6373835] 
[1.2031039, 1.0572708] 
[1.6238704, 1.3114574] 
[1.5585377, 1.2626734] 
[1.312118, 1.1737881] 
[1.7245141, 1.8607866] 
[1.4000297, 1.630158] 
[1.5583572, 1.21438] 
[1.4665208, 1.3187788] 
[1.6526134, 1.369226] 
[1.3560437, 1.0253856] 
[1.4213552, 1.1606297] 
[1.5340261, 1.3296092] 
[1.7746329, 1.4343368] 
[1.3110206, 1.3388796] 
[1.2854128, 1.5831633] 
[1.3864577, 1.6288855] 
[1.2627802, 1.3445301] 
[1.6025834, 1.2836046] 
[1.2412747, 1.040806] 
[1.5450776, 1.2262084] 
[1.8175731, 1.5391417] 
[1.4799721, 1.2895428] 
[1.3316154, 1.1346885] 
[1.3102111, 1.1539907] 
[1.4782003, 1.7108594] 
[1.7657979, 1.8980439] 
[1.072352, 1.2442827] 
[1.7635086, 1.6691774] 
[1.8397754, 1.5565047] 
[1.6124175, 1.2425978] 
[1.0030776, 0.8496292] 
[1.6536009, 1.2894995] 
[1.0376987, 0.8725518] 
[1.5200558, 1.8635433] 
[1.328069, 1.3197355] 
[1.5449417, 1.5516701] 
[1.2184134, 1.277386] 
[1.2973548, 1.6024349] 
[1.2955914, 1.1261978] 
[1.7747133, 1.4638565] 
[1.3634198, 1.101748] 
[1.6460053, 1.4525183] 
[1.3365483, 1.1319914] 
[1.3972772, 1.4835533] 
[1.0491802, 1.1698073] 
[1.2870748, 1.1557506] 
[1.2529275, 1.3954432] 
[1.2819319, 1.4959191] 
[1.8059312, 1.4774976] 
[1.4138477, 1.210114] 
[1.3888713, 1.2675371] 
[1.3213177, 1.1156421] 
[1.1305363, 0.932113] 
[1.3637094, 1.2195551] 
[1.6789248, 1.4558723] 
[1.4776876, 1.3545976] 
[1.3728883, 1.4879503] 
[1.5456574, 1.6277516] 
[1.3854151, 1.18695] 
[1.4156208, 1.2204201] 
[1.3930461, 1.1204756] 
[1.4427285, 1.1592221] 
[1.2844226, 1.055665] 
[1.5363488, 1.3742146] 
[1.3368585, 1.3916634] 
[1.1639552, 1.2200532] 
[1.2697258, 1.3328989] 
[1.6948937, 1.4960463] 
[1.5165851, 1.2727339] 
[1.5102168, 1.3102936] 
[1.5063529, 1.2370777] 
[1.2939589, 1.1120038] 
[1.460423, 1.2641187] 
[1.2012038, 1.0762728] 
[1.4980907, 1.7825866] 
[1.3750056, 1.3444278] 
[1.5894854, 1.5801475] 
[1.2773525, 1.5481024] 
[1.4981995, 1.2416911] 
[1.4688077, 1.2488267] 
[1.5492513, 1.3900759] 
[1.1650133, 1.0190393] 
[1.7731898, 1.4727235] 
[1.4196979, 1.5042095] 
[1.6641693, 1.5931672] 
[1.7171994, 1.7021327] 
[1.2787821, 1.3455361] 
[1.6857799, 1.3617191] 
[1.5853264, 1.3854644] 
[1.4143964, 1.2045386] 
[1.0729728, 1.0076346] 
[1.3073133, 1.1321507] 
[1.4045086, 1.140517] 
[1.1607658, 1.102345] 
[1.2267716, 1.3272786] 
[1.3377783, 1.2196951] 
[1.3452095, 1.4031303] 
[1.2781672, 1.7006252] 
[1.4361289, 1.2593186] 
[1.591421, 1.4119284] 
[1.2581314, 1.0944476] 
[1.8385065, 1.5088782] 
[1.2845591, 1.0589714] 
[1.2735107, 1.4294744] 
[1.5349498, 1.1957035] 
[1.3954995, 1.3251445] 
[1.3342779, 1.4487042] 
[1.3823984, 1.2847215] 
[1.7655494, 1.5069659] 
[1.0793242, 0.91296256] 
[1.5678067, 1.2624087] 
[1.5529171, 1.3381054] 
[1.4111238, 1.1966348] 
[1.1637919, 1.4795172] 
[1.8733792, 1.7115877] 
[1.1110219, 1.3265811] 
[1.6538771, 1.8079958] 
[1.1050526, 1.2368875] 
[1.4125321, 1.2018833] 
[1.7494404, 1.5225959] 
[1.394452, 1.0969044] 
[1.2237163, 1.0540116] 
[1.0525615, 0.9144362] 
[1.349229, 1.297528] 
[1.7915142, 1.441468] 
[1.5915446, 1.6327095] 
[1.5772291, 1.5290301] 
[1.7814326, 1.3871944] 
[1.4890001, 1.1812692] 
[1.3846531, 1.2097471] 
[1.3883951, 1.1980419] 
[1.5634115, 1.3313391] 
[1.3152165, 1.1293085] 
[1.3170233, 1.4891663] 
[1.4991647, 1.758164] 
[1.3237227, 1.3271725] 
[1.6749735, 1.3826498] 
[1.4014971, 1.3527327] 
[2.0600433, 1.6606439] 
[1.1622695, 1.055791] 
[1.6876843, 1.4647708] 
[1.2688597, 1.0670626] 
[1.848566, 1.4663463] 
[1.3356988, 1.378264] 
[1.2328084, 1.3108635] 
[1.2730062, 1.3680658] 
[1.280452, 1.2185402] 
[1.4508708, 1.5966] 
[1.6076037, 1.3529723] 
[1.7167292, 1.2492046] 
[1.4843066, 1.2880688] 
[1.5124843, 1.2600602] 
[1.776015, 1.4955354] 
[1.6340618, 1.8777237] 
[1.4519048, 1.2086687] 
[1.2911234, 1.1974325] 
[1.6528164, 1.6883281] 
[1.5313315, 1.3119936] 
[1.551176, 1.3896762] 
[1.2559233, 1.0509336] 
[1.0648632, 0.8553941] 
