[1.105207, 1.1938944] 
[0.981495, 0.96052927] 
[1.1355293, 1.0197599] 
[1.0659101, 1.0313791] 
[1.0447733, 1.0151923] 
[1.018074, 0.9305469] 
[1.1084774, 1.0528557] 
[1.0959477, 1.0236055] 
[1.0019007, 0.9241752] 
[1.1142182, 1.0360799] 
[1.0582724, 1.0206867] 
[1.1569365, 1.036941] 
[1.0011036, 1.0957351] 
[1.0499941, 1.0848933] 
[1.124439, 1.1603432] 
[1.2099869, 1.1178641] 
[0.9347155, 0.86834604] 
[1.2110989, 1.0774399] 
[0.91855556, 0.83786356] 
[1.0470235, 0.9269133] 
[1.2009933, 1.1122713] 
[1.1487427, 1.0071487] 
[0.99213785, 1.0244896] 
[0.89810973, 0.997115] 
[1.016602, 1.0283008] 
[1.0153086, 0.888217] 
[1.2365531, 1.0960004] 
[1.2242169, 1.0819514] 
[1.0829701, 0.9626535] 
[1.033829, 0.9329062] 
[1.1250126, 0.97557396] 
[1.0768151, 0.9941525] 
[1.0660999, 1.0317829] 
[1.131094, 0.99332106] 
[1.1030674, 1.088558] 
[1.1558292, 1.0565758] 
[1.0471516, 0.9410721] 
[1.0647993, 0.96338373] 
[1.1698847, 1.0285876] 
[1.0107358, 0.9233428] 
[1.1020794, 1.1771693] 
[1.1541948, 1.0629814] 
[1.2013309, 1.1988913] 
[1.209945, 1.1550151] 
[1.0289345, 1.0823302] 
[0.98116803, 0.8754167] 
[1.0826454, 0.9857811] 
[1.163347, 1.1022971] 
[1.1571994, 1.069591] 
[1.1287379, 1.0397227] 
[0.9719065, 0.9943371] 
[1.0241942, 1.0402124] 
[0.96102643, 1.0095137] 
[1.066019, 1.0156407] 
[1.0938836, 1.0649865] 
[1.1276386, 1.0430386] 
[1.0806432, 0.9777009] 
[0.9530401, 0.8465178] 
[1.065314, 0.93221587] 
[1.1645621, 1.0683172] 
[1.1264158, 1.0235043] 
[0.97704005, 1.1035504] 
[1.1230283, 1.1070266] 
[1.1574594, 1.1241088] 
[1.1722466, 1.1610923] 
[1.1450652, 1.0685494] 
[1.2707081, 1.1326805] 
[1.0810993, 0.96530735] 
[1.2517679, 1.1280884] 
[1.1118922, 0.988951] 
[1.0843345, 1.1119087] 
[1.1120092, 1.135556] 
[1.0012281, 0.9339104] 
