[1.0673921, 0.9286662] 
[1.3358823, 1.2551647] 
[1.4056976, 1.238112] 
[1.1058877, 1.1636641] 
[1.3013957, 1.2265346] 
[1.195822, 1.044029] 
[1.1261435, 0.9804188] 
[1.366168, 1.1687888] 
[1.06781, 0.91854084] 
[1.3130372, 1.0679338] 
[1.1128578, 1.1454085] 
[1.1059234, 1.2929001] 
[1.257232, 1.1339147] 
[1.3849275, 1.141634] 
[1.2934818, 1.3874583] 
[1.304696, 1.1216222] 
[0.98078406, 0.8700789] 
[1.0887077, 0.9167706] 
[1.0820386, 0.9081422] 
[1.17378, 0.9431326] 
[1.1287948, 1.3136599] 
[1.171532, 1.092725] 
[1.3768549, 1.6174675] 
[1.250595, 1.230425] 
[1.0921202, 1.0514466] 
[1.3008792, 1.1504378] 
[1.3293586, 1.0701844] 
[1.2475247, 1.0398269] 
[1.1118968, 0.9309211] 
[1.1319922, 0.97854954] 
[1.1765821, 1.2613723] 
[1.0106804, 0.9844773] 
[1.4809213, 1.1842393] 
[1.2654679, 1.2926857] 
[1.1489558, 1.2595072] 
[1.3962955, 1.2079216] 
[1.2193261, 1.0085179] 
[1.5593626, 1.3490239] 
[0.89754677, 0.7308754] 
[0.9914104, 0.8669786] 
[1.3518782, 1.1015866] 
[1.1047475, 1.0495796] 
[1.3283144, 1.4479507] 
[1.510945, 1.4805882] 
[1.317539, 1.1295686] 
[1.2926643, 1.0920545] 
[1.2139676, 1.0850326] 
[1.4665089, 1.2093637] 
[1.1179826, 0.98047984] 
[1.2077351, 0.9894513] 
[1.4646897, 1.3677793] 
[1.3268265, 1.0488099] 
[1.5250957, 1.5865073] 
[1.2137959, 1.2203419] 
[1.4597152, 0.9848801] 
[1.3966768, 1.1777523] 
[1.0542009, 0.959743] 
[1.3915224, 1.1541865] 
[1.5537063, 1.2997355] 
[1.2448788, 1.081536] 
[1.309148, 1.2697592] 
[1.2027838, 1.2255292] 
[1.3576313, 1.204839] 
[1.267431, 1.2331305] 
[1.1225815, 1.3615055] 
[1.2022579, 1.0445628] 
[1.0867691, 0.90322995] 
[1.2005603, 1.0237241] 
[1.2900937, 1.0884055] 
[1.4812552, 1.2507153] 
[1.4249756, 1.4345965] 
[1.3167708, 1.1905713] 
[0.9763061, 1.0092907] 
[1.3305094, 1.2872686] 
[1.2163372, 1.3537283] 
[1.2784497, 1.050976] 
[1.1124392, 0.9071845] 
[1.1748221, 0.9459488] 
[1.5696547, 1.3271583] 
[1.3173912, 1.1441088] 
[1.2837613, 1.2377516] 
[1.2806416, 1.1435913] 
[1.0912769, 1.0692494] 
[1.0879481, 1.1818715] 
[1.3871765, 1.3332188] 
[1.2339747, 1.0641128] 
[1.3030758, 1.0421515] 
[1.1499112, 0.972818] 
[1.3704026, 1.1399072] 
[1.0782018, 0.8820059] 
[1.2936023, 1.3338399] 
[1.2035506, 1.1860815] 
[1.5067511, 1.4881704] 
[1.1327548, 1.1507802] 
[0.95739055, 1.1883883] 
[1.2980299, 0.9882958] 
[1.2469454, 0.9758353] 
[1.5490236, 1.338784] 
[1.5605075, 1.2637823] 
[1.3094472, 1.0976841] 
[1.2913997, 1.2276486] 
[1.2474176, 1.3989959] 
[1.5089042, 1.5587701] 
[1.3543074, 1.1828159] 
[1.2255083, 1.2130642] 
[1.1619312, 1.0110303] 
[1.0819194, 0.91390586] 
[1.2889014, 1.0044774] 
[1.0965165, 0.9313586] 
[1.3365769, 1.1659117] 
[1.3565655, 1.4885821] 
[1.0151602, 1.3746604] 
[1.3596973, 1.3956566] 
[1.5947325, 1.3600141] 
[1.241281, 0.9562075] 
[1.4145651, 1.1942742] 
[1.5300887, 1.2622031] 
[1.3032176, 1.0595491] 
[1.3085037, 1.0751705] 
[1.3371654, 1.1701121] 
[1.4677773, 1.2253642] 
[1.3185637, 1.380521] 
[1.0870183, 1.1020207] 
[1.3749133, 1.1625733] 
[1.310569, 1.3744882] 
[1.3728952, 1.1285125] 
[1.1741712, 0.9770284] 
[1.5115874, 1.2448049] 
[1.3503532, 1.1093327] 
[1.5728455, 1.3918099] 
[1.1853619, 1.1257964] 
[1.309768, 1.1718556] 
[1.0909517, 1.0342855] 
[1.5175824, 1.3611552] 
[1.3800709, 1.4574683] 
[1.4742422, 1.2621546] 
[1.3450279, 1.2054043] 
[1.3654964, 1.174505] 
[1.1940075, 0.96479267] 
[1.4020324, 1.2029176] 
[1.2207835, 1.1572876] 
[1.1469055, 1.0805289] 
[0.8687161, 1.077393] 
[1.4598775, 1.2356706] 
[1.2763952, 1.09247] 
[1.1264553, 0.87235147] 
[1.1527951, 0.9637737] 
[1.2193359, 1.0329213] 
[1.3660321, 1.2420952] 
[1.1795886, 1.0292339] 
[1.192036, 1.3667328] 
[1.4572868, 1.6985714] 
[1.0709312, 1.2259948] 
