[1.2359942, 1.4916749] 
[1.9016845, 1.3917315] 
[1.2047794, 1.1556363] 
[1.4706287, 1.2086308] 
[1.2529219, 1.5709571] 
[1.2298396, 1.0734012] 
[1.1740212, 0.96128273] 
[1.357169, 1.112071] 
[1.6909696, 1.3125186] 
[1.5733099, 1.2728817] 
[1.3362448, 1.1722574] 
[1.2029107, 1.1664863] 
[1.1996304, 1.2371937] 
[1.1408198, 1.2280736] 
[0.9603281, 1.1399401] 
[1.3881742, 1.2455115] 
[1.437422, 1.2121572] 
[1.0190578, 0.91220653] 
[1.4727756, 1.270155] 
[1.3437026, 1.1577191] 
[1.2911781, 1.2555981] 
[1.4259183, 1.5956428] 
[1.3903153, 1.0863512] 
[1.3939061, 1.4261477] 
[1.045167, 1.2889206] 
[1.4024719, 1.1919296] 
[1.2851106, 1.0173194] 
[1.64726, 1.3970354] 
[0.9415914, 0.78746223] 
[1.2005681, 1.0553056] 
[1.1140625, 1.2123325] 
[1.4730201, 1.4976817] 
[1.2382268, 1.2860111] 
[1.3661535, 1.1707537] 
[1.2389627, 1.2716863] 
[1.3031483, 1.0507356] 
[1.3401471, 1.1500428] 
[1.4261835, 1.1968569] 
[1.5283321, 1.2004335] 
[1.8010753, 1.3868077] 
[1.4733044, 1.476268] 
[1.4717307, 1.5957675] 
[1.1337146, 1.3183783] 
[1.2663412, 1.5989798] 
[1.2102311, 1.2455488] 
[1.2547303, 1.1244528] 
[1.4767761, 1.2881086] 
[1.5262854, 1.3068979] 
[1.3319263, 1.1430887] 
[1.3513155, 1.167388] 
[1.2182951, 1.6762965] 
[1.3261976, 1.1763432] 
[1.4102693, 1.4220321] 
[1.4889963, 1.3474457] 
[1.1004143, 1.2277128] 
[1.2364607, 1.127403] 
[1.270943, 1.0928496] 
[1.1195787, 0.9017325] 
[1.2599083, 1.0629957] 
[1.4350288, 1.1410028] 
[1.6112108, 1.7670251] 
[1.5949962, 1.5187143] 
[1.2173126, 1.0466105] 
[1.2981732, 1.4490263] 
[1.6810875, 1.2732024] 
[1.3352493, 1.209143] 
[1.1469499, 0.9639292] 
[1.3243842, 1.1064223] 
[1.313011, 1.0775928] 
[1.1295636, 0.9738093] 
[1.5850292, 1.247533] 
[1.3239362, 1.4208682] 
[1.1468418, 1.3944712] 
[1.3772295, 1.6367376] 
[1.4579645, 1.3523893] 
[1.2081921, 0.95923686] 
[1.2857304, 1.0999424] 
[1.8736926, 1.4206991] 
[1.8213522, 1.2707328] 
[1.3161097, 1.135495] 
[1.3600485, 1.5059204] 
[1.3609625, 1.1553422] 
[1.1384032, 1.4634039] 
[1.0336816, 1.3943021] 
[1.5028497, 1.3887104] 
[1.4915491, 1.302969] 
[1.429976, 1.2171745] 
[1.4573538, 1.2355282] 
[1.6285486, 1.4086664] 
[1.2845647, 1.1091881] 
[1.1297492, 1.4487344] 
[1.3980603, 1.1956737] 
[1.0969126, 1.3955791] 
[0.9718051, 1.204698] 
[1.5806187, 1.311501] 
[1.6339043, 1.3360038] 
[1.4543575, 1.3034351] 
[1.486598, 1.2841573] 
[1.0056396, 0.8673724] 
[1.3383824, 1.1773372] 
[1.354011, 1.3583894] 
[1.3580904, 1.1077616] 
[1.4861009, 1.4927654] 
[1.3635964, 1.246462] 
[1.3856324, 1.4579198] 
[1.3478763, 1.1940651] 
[1.5132134, 1.2641985] 
[1.5932989, 1.3239543] 
[1.3629073, 1.1207957] 
[1.2816051, 1.0615214] 
[1.3559, 1.351556] 
[1.5045688, 1.7998638] 
[1.1897199, 1.2241658] 
[1.3251294, 1.5568432] 
[1.4455235, 1.3273451] 
[1.398329, 1.1742717] 
[1.490698, 1.2607323] 
[1.6757044, 1.4403809] 
[1.4471916, 1.207503] 
[1.4460303, 1.2175504] 
[1.0264697, 1.2061862] 
[1.1906307, 1.2969298] 
[1.4476275, 1.4202427] 
[1.4450376, 1.4754392] 
[1.3447042, 1.379401] 
[1.6226437, 1.3920696] 
[1.3812311, 1.2089596] 
[1.266494, 1.0509963] 
[1.2647812, 1.107395] 
[1.8195912, 1.3857906] 
[1.6320505, 1.40504] 
[1.6155418, 1.4712093] 
[1.3318259, 1.4084296] 
[1.2055448, 1.0913391] 
[1.3686676, 1.4038904] 
[1.3972001, 1.1886013] 
[1.1200964, 0.9421601] 
[1.2353001, 1.1149669] 
[1.5362582, 1.1459358] 
[1.4053304, 1.2629018] 
[1.1211723, 1.2745926] 
[1.3827801, 1.1589214] 
[1.2908287, 1.258426] 
[1.4603715, 1.3453914] 
[1.1473377, 1.1144528] 
[1.333023, 1.0888314] 
[1.2560415, 1.0169511] 
[1.4883457, 1.2543848] 
[1.5111535, 1.25753] 
[1.302993, 1.1074924] 
[1.1731471, 1.0487324] 
[1.2861614, 1.0636758] 
[1.6608107, 1.2587649] 
[1.202882, 1.1022177] 
[1.2181363, 1.3195026] 
[1.7055517, 1.4578724] 
[1.4638183, 1.2046422] 
[1.3230658, 1.193011] 
[1.3387339, 1.0929596] 
[1.4740689, 1.2396355] 
[1.1440063, 1.3481688] 
[1.496894, 1.253839] 
[1.2083566, 1.0588193] 
[1.5334845, 1.4599074] 
[1.402099, 1.3775594] 
[1.7139652, 1.4365296] 
[1.3021452, 1.0414782] 
[1.3008521, 1.1562519] 
[1.4415002, 1.1860609] 
[1.4309134, 1.256863] 
[1.1606421, 1.2063003] 
[1.3447807, 1.3901801] 
[1.1241776, 1.2752672] 
[1.4887815, 1.2548909] 
[1.68151, 1.4202677] 
[1.1267303, 0.9193872] 
[1.2521522, 1.0879822] 
[1.2239568, 1.065786] 
[1.4194186, 1.2058511] 
[1.308077, 1.0787727] 
[1.0129135, 1.1362467] 
[1.3466864, 1.2679627] 
[1.2042122, 1.1942135] 
[1.5691872, 1.6210252] 
[1.359581, 1.2887477] 
[1.3218768, 1.1550057] 
[1.3457942, 1.0890579] 
[1.6584883, 1.4410585] 
[1.6182091, 1.309238] 
[1.622041, 1.3205919] 
[1.3067777, 1.3014388] 
[1.558697, 1.2757691] 
[1.3306472, 1.3772855] 
[1.2767887, 1.4482317] 
[1.3098133, 1.3601706] 
[1.4262736, 1.188006] 
[1.2744031, 1.0641093] 
[1.7316837, 1.4427752] 
[1.4746404, 1.2097946] 
[1.3621614, 1.1226268] 
[1.6546292, 1.5184664] 
[1.0410973, 1.445075] 
[1.2376941, 1.2202275] 
[1.2261302, 1.3206143] 
[1.2438041, 1.1186568] 
[1.7825727, 1.4382331] 
[1.2980976, 1.097741] 
[1.1470025, 0.9989791] 
[1.281228, 1.0846074] 
[1.4820471, 1.2471399] 
[1.1250739, 1.234085] 
[1.5280161, 1.4261093] 
[0.8493678, 0.80515456] 
[1.2554265, 1.1953039] 
[1.532666, 1.4594638] 
[1.1652827, 1.0138735] 
[1.6498513, 1.3702735] 
[1.4339869, 1.1446371] 
[1.3650887, 1.1362113] 
[1.4761329, 1.2249107] 
[1.2810423, 1.18706] 
[1.5625877, 1.5000513] 
[1.2140846, 1.443406] 
[1.335901, 1.1595925] 
[1.8172089, 1.6033685] 
[1.6903228, 1.4319005] 
[1.3032135, 1.1370244] 
[1.2492254, 1.1196566] 
[1.0043976, 0.9110214] 
[1.3374379, 1.0767695] 
[1.4061261, 1.5027604] 
[1.2272947, 1.2429457] 
[1.3334459, 1.3437998] 
[1.3934739, 1.5174376] 
[1.414892, 1.3446867] 
[1.0483663, 0.87645304] 
[1.262418, 1.068773] 
[1.707538, 1.4712517] 
[1.1296054, 0.9547374] 
[1.537065, 1.2791908] 
[1.1647582, 1.4492048] 
[1.4153085, 0.99787354] 
[1.3815914, 1.3750873] 
[1.0827322, 1.2872872] 
[1.2221518, 1.5187042] 
[1.1651412, 0.94724834] 
[1.5151172, 1.274334] 
[1.0575539, 0.86087847] 
[1.3666173, 1.1601669] 
[1.5099304, 1.3318424] 
[1.184145, 1.1363585] 
[1.3945812, 1.3659849] 
[1.4521818, 1.5205185] 
[1.266397, 1.2505364] 
[1.2641368, 1.4309139] 
[1.2697718, 1.0115992] 
[1.189977, 1.0095391] 
[1.4429268, 1.2289032] 
[1.3427217, 1.1261431] 
[1.5761755, 1.3213997] 
[1.2838321, 1.244487] 
[1.4255474, 1.2743862] 
[1.1463143, 1.0251374] 
[1.3056374, 1.205399] 
[1.3664149, 1.1978124] 
[1.7927511, 1.4780782] 
[1.1670532, 0.93141675] 
[1.1958871, 1.0539141] 
[1.4791584, 1.2526937] 
[1.2716973, 0.9885447] 
[1.2442652, 1.4777818] 
[1.2961543, 1.3950425] 
[1.6802719, 1.3348585] 
[1.2647638, 1.0890845] 
[1.4805677, 1.2321273] 
[1.2973924, 1.1783025] 
[1.2917688, 1.089745] 
[1.3870819, 1.2368902] 
[1.2189457, 1.0672948] 
[1.2679722, 1.0640041] 
[1.3136022, 1.3990091] 
[1.2296906, 1.1731485] 
[1.2319267, 1.1073725] 
[1.2736489, 1.2296865] 
[1.3833573, 1.3595337] 
[1.6272769, 1.5111301] 
[1.1362293, 1.0275753] 
[1.3308319, 1.1477687] 
[1.6181871, 1.4090049] 
[1.3446841, 1.1542475] 
[0.95318735, 1.3206627] 
[0.86831915, 1.0281131] 
[1.339597, 1.3782938] 
[1.4047129, 1.2147326] 
[1.1684557, 1.081054] 
[1.7868392, 1.5125214] 
[0.9760074, 0.83995205] 
[1.7607276, 1.4899867] 
[1.2528079, 1.0561762] 
[1.4923116, 1.3128703] 
[1.1592613, 1.0507804] 
[1.1649296, 1.4395213] 
[1.2910236, 1.3052897] 
[1.4141946, 1.3307576] 
[1.4418982, 1.5893847] 
[1.2582836, 1.0329032] 
[1.2620044, 1.0751293] 
[1.3221154, 1.1501865] 
[1.0872136, 0.96686697] 
[1.4180162, 1.1839507] 
[1.242981, 1.3345551] 
[1.1446455, 1.3380091] 
[1.2816596, 1.3260251] 
[1.2437723, 1.407766] 
[1.1758646, 1.3443296] 
[1.3918232, 1.2381272] 
[1.375789, 1.2174199] 
[1.2240552, 1.0716567] 
[1.1425407, 1.0008676] 
[1.5692685, 1.4245934] 
[1.0242274, 1.1805768] 
[1.3039198, 1.3745778] 
[1.5303253, 1.6208934] 
[1.4026388, 1.3721334] 
[1.3558474, 1.4160284] 
[1.5557897, 1.383951] 
[1.2688977, 1.1236521] 
[1.1213641, 0.98730314] 
[1.2420657, 1.0587602] 
[1.5018005, 1.3194445] 
[1.2865402, 1.1344374] 
[1.1843578, 0.9064544] 
[1.31391, 1.483362] 
[1.049207, 1.3756123] 
[1.7435011, 1.2654829] 
[1.5049695, 1.302876] 
[1.3834765, 1.2248421] 
[1.5569375, 1.2682843] 
[1.3454748, 1.2043436] 
[1.2677829, 1.1119342] 
[0.98237854, 1.5614722] 
[1.1172167, 1.0062802] 
[1.6018999, 1.3580406] 
[1.1660507, 1.1569208] 
[1.3550985, 1.3148124] 
[1.4701118, 1.2873602] 
[1.2874243, 1.1124996] 
[1.3491845, 1.1180351] 
[1.370028, 1.1918848] 
[1.3955269, 1.2306595] 
[1.5118313, 1.0537364] 
[1.4864104, 1.2396665] 
[1.1544418, 1.3118964] 
[1.8818872, 2.008304] 
[1.1422393, 1.016344] 
[1.3281431, 1.2032202] 
[1.7611461, 1.4854654] 
[1.5305972, 1.3395554] 
[1.5054107, 1.2825125] 
[1.0819876, 0.89313936] 
[1.1797698, 1.4364285] 
[1.1336284, 1.3031806] 
[1.5475714, 1.1184256] 
[1.2744105, 1.9826485] 
[1.5527365, 1.5938698] 
[1.1985829, 1.0526444] 
[1.4890633, 1.2020309] 
[1.3068316, 1.0462916] 
[1.4500858, 1.1975343] 
[1.4809686, 1.1401607] 
[1.565417, 1.3397726] 
[0.89165384, 1.158633] 
[1.1251485, 1.1525683] 
[1.0399795, 1.1705401] 
[1.3230135, 0.99646944] 
[1.4216313, 1.2295363] 
[1.4021751, 1.2430311] 
[1.2336421, 1.1015769] 
[1.3810459, 1.1679095] 
[1.3976741, 1.2318583] 
[0.868675, 1.1832061] 
[1.1256061, 1.1694319] 
[1.351823, 1.3269215] 
[1.4323308, 1.3980794] 
[1.245153, 1.2407706] 
[1.2137756, 0.99082375] 
[1.4961777, 1.1227031] 
[1.4235628, 1.1937068] 
[1.3051461, 1.0984244] 
[1.2687018, 1.0814476] 
[1.428684, 1.5183957] 
[1.1235225, 1.284638] 
[1.0174026, 1.1011946] 
[1.6722426, 1.4638984] 
[1.4743614, 1.4275599] 
[1.2805779, 1.1205713] 
[1.4895868, 1.2864636] 
[1.6640892, 1.2963438] 
[1.3466374, 1.143811] 
[1.7186055, 1.4240375] 
[1.4967153, 1.3227642] 
[1.3538566, 1.4868121] 
[1.1202831, 1.2629781] 
[1.1844802, 1.4986296] 
[1.3933935, 1.3667083] 
[1.5091057, 1.1876675] 
[1.4896203, 1.2830371] 
[1.1885718, 1.0506458] 
[1.4155252, 1.2418151] 
[1.2317774, 1.077951] 
[1.2497625, 1.2010972] 
[1.3141279, 1.4373403] 
[1.278759, 1.1350622] 
[1.5815055, 1.3888426] 
[1.3856463, 1.6087384] 
[1.471923, 1.2968049] 
[1.5480871, 1.2665682] 
[1.446312, 1.2396731] 
[1.4311506, 1.1394465] 
[1.3911356, 1.1535835] 
[1.300388, 1.2142267] 
[1.3825524, 1.2983813] 
[1.5225451, 1.1512139] 
[1.6077509, 1.5735428] 
[1.259985, 1.5161269] 
[1.4105339, 1.1824706] 
[1.5120543, 1.1530005] 
[1.5188184, 1.2893412] 
[1.1749297, 1.0548301] 
[1.114139, 0.94651544] 
[1.3704659, 1.3618321] 
[0.8537275, 0.7598282] 
[1.5043535, 1.7250452] 
[1.3044684, 1.3215239] 
[1.4474411, 1.260639] 
[1.5229874, 1.2589877] 
[1.7272391, 1.436985] 
[1.416899, 1.2366959] 
[1.4368358, 1.1733415] 
