[1.0172458, 1.1127987] 
[1.0434179, 1.2249002] 
[1.4136341, 1.2473242] 
[1.2535703, 1.2754067] 
[1.2042708, 1.1826845] 
[1.254084, 1.0027065] 
[1.585403, 1.3027902] 
[1.0017622, 0.82646847] 
[1.3297784, 1.1468891] 
[1.0114031, 0.8533666] 
[1.6413782, 1.665066] 
[1.232478, 1.2098188] 
[1.4753036, 1.4270796] 
[1.1367016, 0.99153614] 
[1.315768, 1.1999263] 
[1.0528481, 0.93388987] 
[1.1018523, 0.91034997] 
[1.3212236, 1.1195769] 
[1.3735204, 1.189715] 
[1.114209, 0.94648] 
[1.0611855, 1.2152562] 
[1.3721147, 1.3221332] 
[1.1069286, 1.0401424] 
[1.3280964, 1.3242625] 
[1.1909183, 1.0295293] 
[0.958645, 0.87769365] 
[1.0757074, 0.9693922] 
[1.0749885, 0.95258886] 
[0.9361477, 0.8545661] 
[0.99948466, 0.900273] 
[1.087889, 1.0050251] 
[0.9931538, 0.9877418] 
[1.0405723, 1.1308091] 
[0.9295621, 0.84561795] 
[0.9789356, 0.99005413] 
[1.0000373, 0.907878] 
[1.2446631, 1.1092875] 
[1.3864548, 1.2276793] 
[1.1782228, 1.0567231] 
[1.2832135, 1.154643] 
[1.2293051, 0.93753487] 
[1.0933847, 1.0634274] 
[1.1805493, 1.1487511] 
[1.1254928, 0.9468269] 
[1.2260598, 1.0248932] 
[1.2036238, 1.0806451] 
[1.1477425, 0.9818618] 
[1.2575357, 1.0734969] 
[1.5404902, 1.2582408] 
[1.2642484, 1.1004353] 
[1.2290068, 1.2170812] 
[1.0193743, 0.99255407] 
[1.4234033, 1.3038787] 
[1.2956192, 1.0777196] 
[1.1860449, 1.3774176] 
[1.2212603, 1.1025767] 
[0.9882257, 0.87324977] 
[1.151694, 0.99875474] 
[1.2130394, 1.0383172] 
[1.1393104, 1.0102748] 
[1.1746316, 1.0945776] 
[1.1588049, 1.1049595] 
[1.0929568, 1.1335101] 
[1.1469514, 0.8958129] 
[1.2606196, 1.3792379] 
[1.4699402, 1.2311995] 
[1.1734486, 0.9548955] 
[1.2848413, 1.0358293] 
[1.210413, 1.0394316] 
[1.3815398, 1.1934197] 
[1.3791884, 1.4755754] 
[1.1606804, 1.0639914] 
[1.288268, 1.2504418] 
[1.1433191, 1.2209105] 
[1.419004, 1.0914375] 
[1.361873, 1.1352186] 
[1.1208643, 0.9805215] 
[1.214179, 1.066321] 
[1.3624372, 1.1713496] 
[1.2136474, 1.0534083] 
[1.2783804, 1.1089702] 
[1.1379206, 1.2280667] 
[1.2699704, 1.1860105] 
[0.93643177, 1.0301242] 
[1.2592176, 1.2602026] 
[1.1546061, 0.95545924] 
[1.3118975, 1.0667198] 
[1.0189801, 0.89824414] 
[1.419977, 1.1459584] 
[1.1273613, 0.9512865] 
[1.2859464, 1.2616634] 
