[1.0447729, 1.0284292] 
[1.0780739, 1.131279] 
[1.0989958, 1.0295489] 
[1.1351715, 1.1797317] 
[1.1070358, 1.0463201] 
[1.007207, 0.88388425] 
[1.1022683, 0.92766607] 
[1.0874637, 1.0014489] 
[1.1174563, 1.0061361] 
[1.0772374, 0.93092394] 
[1.1043953, 1.1743702] 
[1.2439172, 1.2593234] 
[1.1166906, 1.201108] 
[1.1240678, 1.0309749] 
[1.1806602, 1.1716] 
[1.259098, 1.1512537] 
[1.0472164, 0.93527853] 
[1.0888236, 0.9421474] 
[1.0281233, 0.90145224] 
[1.1122226, 0.9939332] 
[1.2063882, 1.3538866] 
[1.1304374, 1.0474033] 
[1.0475208, 0.96966875] 
[1.2121861, 1.051856] 
[1.1729727, 1.2328324] 
[1.1632535, 1.0322638] 
[1.2349228, 1.1013973] 
[1.061165, 0.9880535] 
[1.3627579, 1.1837006] 
[1.0902537, 0.9567667] 
[1.0223575, 1.0687531] 
[1.1103494, 1.0252943] 
[0.9223579, 0.8912874] 
[1.0770841, 1.0462401] 
[1.1062565, 1.2411448] 
[1.0873183, 0.9623808] 
[1.2609289, 1.1219547] 
[1.0917393, 0.9782661] 
[1.076943, 0.95512426] 
[0.9981039, 0.8444388] 
[1.1011395, 1.1339157] 
[1.1673427, 1.0581375] 
[0.9458163, 0.8396152] 
[1.0265871, 1.0002308] 
[0.9849447, 1.1145706] 
[1.0307667, 0.87220716] 
[1.28901, 1.1575632] 
[1.3147666, 1.1791091] 
[1.1927838, 1.0930946] 
[0.99796796, 0.8725232] 
[1.1808286, 1.1427187] 
[1.2725185, 1.2307496] 
[1.0913944, 1.1328883] 
[1.131506, 1.0207012] 
[1.1350051, 1.0196191] 
[1.2413368, 1.0370934] 
[1.3590388, 1.1953237] 
[1.0987425, 0.99385816] 
[1.21489, 1.067853] 
[1.1771079, 1.0572464] 
[1.2237225, 1.2272227] 
[1.0846272, 1.0170271] 
[1.1781182, 1.1692247] 
[1.1364151, 1.1107807] 
[1.0178094, 0.96622765] 
[1.0403926, 0.8495216] 
[1.0591354, 0.8779223] 
[1.2353139, 1.0497338] 
[1.103013, 0.9556812] 
[1.0356576, 0.8564886] 
[1.4722742, 1.1987106] 
[1.5630058, 1.4314414] 
[1.2303768, 1.1122782] 
[0.9989424, 1.0978608] 
[1.3520063, 1.220309] 
[1.1154976, 0.99040914] 
[1.252908, 1.0731536] 
[1.1880927, 0.9662088] 
[0.9435779, 0.853366] 
[1.3336583, 1.1541951] 
[1.0659628, 1.1076268] 
[1.1422281, 1.2386503] 
[1.2798395, 1.0013201] 
[0.93236125, 0.9712192] 
[0.96395344, 0.99650013] 
[1.2625979, 1.0400801] 
[1.3410528, 1.1833682] 
[1.2287576, 1.0758643] 
[1.5516171, 1.37105] 
[1.2992942, 1.1693897] 
[1.0072013, 1.0756075] 
[1.10228, 1.2587018] 
[1.1226809, 1.1401708] 
[1.14342, 1.1340363] 
[1.0417528, 1.031035] 
[1.1208078, 1.0012403] 
[0.9010714, 0.79029435] 
[1.1779435, 0.9908117] 
[1.2932141, 1.1329865] 
[0.9589086, 0.85119] 
[1.0064249, 1.0891778] 
[1.3536923, 1.1098418] 
[0.9046432, 0.9505491] 
[0.9775448, 1.0972154] 
[1.1119347, 1.0399377] 
[1.1524277, 0.9521034] 
[1.3545951, 1.1580504] 
[1.0622736, 0.90018374] 
[1.0559671, 0.90936446] 
[1.1166399, 0.99136096] 
[1.0450431, 1.0815268] 
[0.9738231, 0.9395832] 
[1.2061219, 1.0382867] 
[1.1027235, 1.0689825] 
[1.0791502, 1.1392363] 
[1.2014346, 1.075603] 
[1.2548876, 1.0855672] 
[0.9953766, 0.85809827] 
[1.0946107, 0.92465806] 
[1.23776, 1.0196198] 
[1.2348665, 1.2598178] 
[1.0694788, 1.1245233] 
[1.3779757, 1.2540413] 
[1.1565979, 0.964866] 
[1.1779118, 1.1878369] 
[1.1244117, 0.86253464] 
[1.5006063, 1.2029465] 
[1.0499449, 0.89744663] 
[1.1189038, 0.92816913] 
[1.2636306, 1.1120305] 
[1.1000645, 1.1598527] 
[0.9571828, 1.1606661] 
[1.1008205, 1.1950886] 
[1.0203143, 0.8926981] 
[1.0652196, 0.92046976] 
[1.4521488, 1.2612801] 
[1.1141444, 0.9738313] 
[1.2487013, 1.0294248] 
[1.2675505, 1.1429472] 
[1.0475495, 0.9522846] 
[0.937128, 0.96220946] 
[1.1272025, 0.98394847] 
[1.0586089, 1.1466087] 
[1.0629735, 1.0293555] 
[1.180964, 1.1486161] 
[1.0670342, 0.9390575] 
[1.1503325, 1.0334663] 
[1.0931873, 1.0212307] 
[1.0816787, 0.8994417] 
[1.2106879, 1.0792346] 
[1.0911727, 1.0461531] 
[1.2269832, 1.1436996] 
[1.2107763, 1.164247] 
[1.0160025, 0.97279775] 
[1.3009706, 1.2445898] 
[0.92982054, 0.7951759] 
[1.0746808, 0.91782165] 
[1.2488594, 1.0145345] 
[1.1909046, 1.0713663] 
[1.1265303, 0.94962096] 
[1.1536884, 1.2617149] 
[0.9707467, 1.0646698] 
[1.024126, 1.1891606] 
[1.2427647, 1.1865716] 
[1.3492573, 1.1936419] 
[1.0786153, 0.88007194] 
[1.356961, 1.0571191] 
[1.1663684, 0.9603877] 
[1.140608, 0.88618135] 
[1.0704095, 0.8696841] 
[1.0895673, 1.0627214] 
[1.0620947, 1.1670492] 
[1.2397554, 1.154126] 
[1.1406925, 1.2327273] 
[1.0157003, 1.0125196] 
[1.5351498, 1.2333939] 
[1.4594735, 1.1458762] 
[1.0367365, 0.8766804] 
[1.2296886, 0.99155253] 
[1.3836076, 1.2361908] 
[1.23558, 1.0700276] 
[1.2814051, 1.3152385] 
[1.1948892, 1.0995424] 
[1.1451596, 1.0333778] 
[1.1441491, 1.2655478] 
[1.1995376, 1.0209353] 
[1.0977948, 0.99008936] 
[1.3148983, 1.0653431] 
[0.9824467, 0.8618206] 
[1.0977283, 0.95180583] 
[0.98719335, 1.0959032] 
[0.9976564, 1.1169372] 
[1.0949512, 1.1351905] 
[0.914634, 0.82773566] 
[1.0291477, 1.1217575] 
[1.390229, 1.1850648] 
[1.022599, 0.8987965] 
[0.9744295, 0.8536935] 
[1.0160563, 0.840323] 
[1.0942664, 0.9373114] 
[0.9967814, 1.0540355] 
[1.0546265, 1.1999648] 
[0.94034123, 0.9163028] 
[1.107681, 1.1936115] 
[1.1533957, 1.1482384] 
[1.2576762, 1.038115] 
[1.0759765, 0.9938489] 
[0.93106186, 0.82822263] 
[1.2574732, 1.1445912] 
[1.2053947, 0.9686657] 
[0.8494189, 0.94191027] 
[0.92982405, 0.9558238] 
[1.0980808, 1.1022205] 
[1.0582752, 0.9769379] 
[1.2514787, 1.0337541] 
[1.2958465, 1.1533319] 
[1.1435387, 1.0266995] 
[1.1579814, 1.0274982] 
[1.1756712, 1.0111674] 
[1.0137981, 0.8708422] 
[1.1339848, 1.290263] 
[1.1683908, 1.0376563] 
[1.0448823, 0.9391099] 
[1.1933516, 1.1334391] 
[1.0208505, 1.1032307] 
[1.0639771, 0.9552971] 
[1.204283, 1.060085] 
[1.3479192, 1.1820695] 
[1.2762082, 1.1157503] 
[1.2105826, 1.0583466] 
[0.9665811, 1.0064912] 
[1.0275327, 1.0287049] 
[1.0720612, 1.2083073] 
[1.0303457, 1.084046] 
[1.0017717, 1.0518802] 
[1.2486403, 1.0940816] 
[1.213551, 1.0912523] 
[1.3007238, 1.089681] 
[1.1837001, 1.0349803] 
[1.2235548, 1.057773] 
[1.2047322, 0.9958145] 
[1.0269449, 1.0563316] 
[1.0641109, 1.1456747] 
[1.3234073, 1.3184382] 
[1.2109483, 1.1572497] 
[1.002931, 0.8792988] 
[1.2066123, 1.0132757] 
[1.1641603, 1.0681335] 
[1.2206306, 1.066209] 
[1.0903602, 0.96012646] 
[1.3320184, 1.1775926] 
[1.1489937, 1.1505727] 
[1.1853981, 1.1604593] 
[1.2148933, 1.1164613] 
[1.2788799, 1.243285] 
[1.2062716, 1.1087384] 
[1.0208755, 0.919583] 
[1.151859, 1.0554813] 
[1.203368, 1.0617179] 
[1.1634331, 1.00774] 
[1.1093552, 1.0325023] 
[0.98297626, 0.79875934] 
[1.2108867, 1.1016548] 
[1.2187542, 1.1706583] 
[1.1829193, 1.2924137] 
[0.9579119, 0.8640488] 
[1.1862576, 1.099435] 
[1.306391, 1.141144] 
[1.2474866, 1.0546112] 
[1.1449525, 1.0542923] 
[1.1247998, 1.1065365] 
[1.3894887, 1.3203057] 
[1.1677012, 1.1282675] 
[1.2107669, 1.1382408] 
[1.2813404, 1.1656678] 
[1.2142599, 1.0726634] 
[1.2458202, 1.0942189] 
[1.2412636, 1.0654387] 
[1.1860869, 1.0774236] 
[1.1948514, 1.0556355] 
[0.97272485, 1.0328434] 
[1.199253, 1.1568453] 
[1.2851155, 1.3132992] 
[1.2517493, 1.1163099] 
[1.0234122, 1.209708] 
[1.0471427, 0.9543228] 
[1.1502031, 0.99480844] 
[1.1854124, 1.0321616] 
[1.2875507, 1.1114098] 
[1.1695731, 0.95316553] 
[1.0637573, 1.2037249] 
[1.0334914, 0.83154845] 
