[1.4139491, 1.6107414] 
[1.3792652, 1.3081474] 
[1.1995167, 1.4358368] 
[1.2583178, 1.3601384] 
[1.5691403, 1.505239] 
[1.5399033, 1.2428449] 
[1.2941799, 1.0695102] 
[1.3198956, 1.0939343] 
[1.5161114, 1.2432193] 
[1.2158222, 1.0741968] 
[1.2897782, 1.209134] 
[1.5464466, 1.3294379] 
[1.4669135, 1.3954774] 
[1.5914505, 1.6642823] 
[1.4367758, 1.0585306] 
[1.3361303, 1.1635646] 
[1.2780344, 1.0926397] 
[1.2074997, 1.0330518] 
[1.5665987, 1.2447455] 
[1.1359416, 0.99565387] 
[1.1664943, 1.1803504] 
[1.2198975, 1.3464031] 
[1.5472077, 1.3868477] 
[1.2343671, 1.7987744] 
[1.4876373, 1.3157225] 
[1.5146182, 1.237064] 
[1.35009, 1.1098977] 
[1.2753384, 1.1524198] 
[1.0635746, 0.9421324] 
[1.4891064, 1.263099] 
[1.1709933, 1.1716149] 
[1.420595, 1.2928563] 
[1.4720093, 1.4958165] 
[1.2337588, 1.2374656] 
[1.3717709, 1.1263819] 
[0.96936667, 0.81501395] 
[1.2300372, 1.0278287] 
[1.2299438, 1.0187522] 
[1.2457646, 1.0653226] 
[1.4834868, 1.2922919] 
[1.4035468, 1.4143845] 
[1.4668353, 1.2301881] 
[1.1127788, 1.0121305] 
[1.2991527, 1.3056545] 
[1.1170825, 1.4256544] 
[1.516794, 1.4098277] 
[1.1893976, 1.0752733] 
[1.453581, 1.2622001] 
[1.4590241, 1.1554112] 
[1.3276279, 1.1388453] 
[1.2801484, 1.2079251] 
[1.4650807, 1.1549776] 
[1.3343842, 1.3221502] 
[1.3019722, 1.4495388] 
[1.385298, 1.4450755] 
[1.385542, 1.0993471] 
[1.2247195, 1.0242895] 
[1.2822864, 1.0789851] 
[1.3964729, 1.1797595] 
[1.1202745, 0.9443536] 
[1.0631535, 1.2861904] 
[1.7867887, 1.8212972] 
[1.2025329, 1.1995546] 
[1.3111166, 1.4647899] 
[1.193069, 1.3785175] 
[1.2441212, 1.1287704] 
[1.8033139, 1.6086235] 
[1.2427536, 1.0000083] 
[1.5944935, 1.2844956] 
[1.5796437, 1.3851484] 
[1.5790823, 1.4473722] 
[1.1760793, 1.4720957] 
[1.2097343, 1.4704959] 
[1.3921219, 1.3408307] 
[1.2389706, 1.4357762] 
[1.7211119, 1.464038] 
[1.6143281, 1.4435542] 
[1.3995199, 1.1947837] 
[1.5653635, 1.2770162] 
[1.5493093, 1.3265002] 
[1.3312287, 1.3722668] 
[1.4102728, 1.6056714] 
[1.5295773, 1.3376187] 
[1.0735133, 1.2389321] 
[1.199783, 1.3822081] 
[1.3792403, 1.0934031] 
[1.5102726, 1.2398969] 
[1.3084049, 1.1580384] 
[1.4684614, 1.2912295] 
[1.6021434, 1.362778] 
[1.0435519, 1.0725262] 
[1.0996015, 1.2505702] 
[1.5409939, 1.2812382] 
[1.2240328, 1.37343] 
[1.2252743, 1.0423259] 
[1.7949003, 1.4896338] 
[1.3825467, 1.1891439] 
[1.8357826, 1.6176142] 
[1.3968499, 1.2229407] 
[1.3481116, 1.1295102] 
[1.2341018, 0.8477524] 
[1.1722183, 1.559484] 
[1.2411184, 1.2352234] 
[1.5060275, 1.4400935] 
[1.3178027, 1.4712144] 
